Molecule ChEMBL ID,#RO5 Violations,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type
CHEMBL2381755,0,O=C(CCCCc1cn(Cc2ccc(C(F)(F)F)cc2)nn1)NO,Inhibition,,,%,CHEMBL2383094,Inhibition of human recombinant HDAC7 at 10 uM incubated for 10 mins prior to substrate addition measured after 60 mins by spectrophotometric analysis,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL2380293,1,Scientific Literature,Bioorg Med Chem Lett,2013,None,,
CHEMBL2431862,0,Cn1cccc1C(=O)NCc1ccc(C(=O)NO)cc1,IC50,=,4600,nM,CHEMBL2433159,Inhibition of N-terminal GST-tagged recombinant human HDAC7 (518) expressed in baculovirus using acetyl-Lys(trifluoroacetyl)-AMC as substrate after 1 hr by fluorescence plate reader analysis,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL2429834,1,Scientific Literature,J Med Chem,2013,None,,
CHEMBL1836142,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL1836145,1,CCCC[C@H]1NC(=O)C[C@H]2/C=C/CCSSC[C@@H](NC1=O)C(=O)N[C@H]([C@@H](C)CC)[C@@H](O)CC(=O)O2,IC50,=,27000,nM,CHEMBL1838192,Inhibition of recombinant human HDAC7 using Boc-L-Lys(epsilon-trifluoroacetyl)-AMC as substrate by two-step fluorogenic assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL1833850,1,Scientific Literature,J Nat Prod,2011,None,,
CHEMBL3793310,1,Cc1[nH]c2ccccc2c1/C=C/c1ccccc1-c1ccc(/C=C/C(=O)NO)cc1,IC50,=,10900,nM,CHEMBL3795918,Inhibition of human recombinant N-terminal GST-tagged HDAC7 (518 to 991 residues) expressed in insect cells using RHK-K(Ac)-AMC as substrate incubated for 60 mins by fluorescence assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL3792283,1,Scientific Literature,Eur J Med Chem,2016,None,,
CHEMBL1767030,0,CNC(=O)/C(CCCCCCC(=O)Nc1ccc2ccccc2c1)=N\O,IC50,>,100000,nM,CHEMBL1767472,Inhibition of human HDAC7 using ArgHisLysLys(Ac) fluorogenic peptide as a substrate by fluorimetric assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL1765034,1,Scientific Literature,J Med Chem,2011,None,,
CHEMBL1767032,0,CNC(=O)/C(CCCCCCC(=O)NC1c2ccccc2-c2ccccc21)=N\O,IC50,>,100000,nM,CHEMBL1767472,Inhibition of human HDAC7 using ArgHisLysLys(Ac) fluorogenic peptide as a substrate by fluorimetric assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL1765034,1,Scientific Literature,J Med Chem,2011,None,,
CHEMBL1767035,0,CNC(=O)/C(CCCCCCC(=O)Nc1cccc(Br)c1)=N\O,IC50,>,100000,nM,CHEMBL1767472,Inhibition of human HDAC7 using ArgHisLysLys(Ac) fluorogenic peptide as a substrate by fluorimetric assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL1765034,1,Scientific Literature,J Med Chem,2011,None,,
CHEMBL1767037,0,CNC(=O)/C(CCCCCCC(=O)Nc1cccc(-c2ccc(C(=O)O)cc2)c1)=N\O,IC50,=,80900,nM,CHEMBL1767472,Inhibition of human HDAC7 using ArgHisLysLys(Ac) fluorogenic peptide as a substrate by fluorimetric assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL1765034,1,Scientific Literature,J Med Chem,2011,None,,
CHEMBL255714,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL270149,0,Nc1nc(NCc2ccc(C(=O)Nc3ccccc3N)cc2)nc(NC2CCCC2)n1,Activity,,,,CHEMBL931668,Activity against HDAC7,B,BAO_0000357,single protein format,None,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL1143113,1,Scientific Literature,Bioorg Med Chem Lett,2008,None,,
CHEMBL98,0,O=C(CCCCCCC(=O)Nc1ccccc1)NO,IC50,,,,CHEMBL948015,Inhibition of HDAC7,B,BAO_0000357,single protein format,None,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL1142268,1,Scientific Literature,J Med Chem,2008,None,,
CHEMBL2431862,0,Cn1cccc1C(=O)NCc1ccc(C(=O)NO)cc1,IC50,=,4600,nM,CHEMBL3388105,Inhibition of N-terminal GST-tagged human HDAC7 (518 to end residues) using fluorogenic acetyl-Lys(trifluoroacetyl)-AMC substrate incubated for 2 hrs by fluorescence assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL3351349,1,Scientific Literature,Bioorg Med Chem Lett,2014,None,,
CHEMBL2177588,0,CN1C[C@@H](C(=O)Nc2ccc(Cl)cc2)[C@H](c2ccc(/C=C/C(=O)Nc3ccccc3N)cc2)C1,IC50,>,30000,nM,CHEMBL2182323,Inhibition of HDAC7 using p53 (379 to 382 residues) based fluorogenic peptide substrate,B,BAO_0000357,single protein format,None,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL2177000,1,Scientific Literature,J Med Chem,2012,None,,
CHEMBL1631910,0,O=C(CCCCCC1OCCCCCOc2ccccc2NC1=O)NO,IC50,=,1720,nM,CHEMBL1634306,Inhibition of human HDAC7 by fluorimetric assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL1629537,1,Scientific Literature,J Med Chem,2010,None,,
CHEMBL1631918,0,COc1cc2cc(c1)COc1ccccc1NC(=O)[C@@H](CCCCCC(=O)NO)OCCC2,IC50,=,271,nM,CHEMBL1634306,Inhibition of human HDAC7 by fluorimetric assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL1629537,1,Scientific Literature,J Med Chem,2010,None,,
CHEMBL98,0,O=C(CCCCCCC(=O)Nc1ccccc1)NO,IC50,=,344,nM,CHEMBL3238943,Inhibition of human HDAC-7 using RHKK(Ac) as substrate,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL3232879,1,Scientific Literature,Eur J Med Chem,2014,None,,
CHEMBL561209,0,COc1ccc(-c2ccc(/C=C/C(=O)NO)cc2)cc1,IC50,=,213000,nM,CHEMBL3238610,Inhibition of human HDAC7 using fluorogenic tetrapeptide RHKKAc as substrate,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL3232764,1,Scientific Literature,Eur J Med Chem,2014,None,,
CHEMBL3235790,1,N#CCc1ccc(-c2ccc(/C=C/C(=O)NO)cc2Cl)cc1C12CC3CC(CC(C3)C1)C2,IC50,=,49200,nM,CHEMBL3238610,Inhibition of human HDAC7 using fluorogenic tetrapeptide RHKKAc as substrate,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL3232764,1,Scientific Literature,Eur J Med Chem,2014,None,,
CHEMBL3235463,1,O=C(/C=C/c1ccc(-c2ccc(O)c(C34CC5CC(CC(C5)C3)C4)c2)cc1)NO,IC50,=,75100,nM,CHEMBL3238610,Inhibition of human HDAC7 using fluorogenic tetrapeptide RHKKAc as substrate,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL3232764,1,Scientific Literature,Eur J Med Chem,2014,None,,
CHEMBL98,0,O=C(CCCCCCC(=O)Nc1ccccc1)NO,IC50,>,1000,nM,CHEMBL4413548,Inhibition of recombinant full length N-terminal GST-tagged human HDAC7 expressed in baculovirus expression system using Ac-peptide-AMC as substrate preincubated for 15 mins followed by substrate addition and measured after 1 hr by fluorescence assay,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL4411315,1,Scientific Literature,J Med Chem,2019,None,,
CHEMBL4164821,0,CC(C)(C(=O)Nc1ccc(C(=O)Nc2ccccc2N)cc1)c1ccccc1,Inhibition,=,0,%,CHEMBL4133870,Inhibition of human HDAC7 at 1 uM using Boc-Lys(trifluoroacetyl)-AMC substrate,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL4130443,1,Scientific Literature,Eur J Med Chem,2017,None,,
CHEMBL4563988,0,COC(=O)c1ccc2ccccc2c1OCCCCCCCC(=O)NO,Inhibition,=,-16.3,%,CHEMBL4398739,Inhibition of human recombinant HDAC7 at 10 uM using fluorogenic HDAC substrate class 2a measured after 45 mins by fluorimetry assay relative to control,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL4396900,1,Scientific Literature,ACS Med Chem Lett,2019,None,,
CHEMBL4525406,2,CN1CCC(CNC(=O)c2cccc(-c3noc(C(F)(F)F)n3)c2)(c2nc(-c3ccccc3)cs2)CC1,Ki,=,39,nM,CHEMBL4368737,Inhibition of HDAC7 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL4364347,1,Scientific Literature,Bioorg Med Chem,2019,None,,
CHEMBL191482,0,CC(C)[C@H](C(=O)Nc1ccc(C(=O)NO)cc1)c1ccccc1,Inhibition,=,22,%,CHEMBL4133870,Inhibition of human HDAC7 at 1 uM using Boc-Lys(trifluoroacetyl)-AMC substrate,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL4130443,1,Scientific Literature,Eur J Med Chem,2017,None,,
CHEMBL4161404,0,Nc1cc(F)ccc1NC(=O)c1ccc(NC(=O)C2CC2c2ccccc2)cc1,Inhibition,=,0,%,CHEMBL4133870,Inhibition of human HDAC7 at 1 uM using Boc-Lys(trifluoroacetyl)-AMC substrate,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL4130443,1,Scientific Literature,Eur J Med Chem,2017,None,,
CHEMBL3670674,2,Nc1ccccc1NC(=O)c1ccc(CNC(=O)c2[nH]c(-c3ccsc3)cc2-c2ccc(O)cc2)cc1,IC50,=,290,nM,CHEMBL3707527,Enzyme Assay: The reactions were carried out in a 96-well microplate for fluorometry in a 50 μl reaction volume. After the deacetylation reaction,,,,,,,,,,,,,,,,,,,,
CHEMBL396097,0,O=C(NO)C(c1ccccc1)c1ccccc1,Inhibition,=,14.2,%,CHEMBL3738434,Inhibition of human recombinant HDAC7 at 20 uM using Boc-Lys(Tfa)-AMC as substrate after 30 to 60 mins by microplate reader assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL3734759,1,Scientific Literature,Medchemcomm,2015,None,,
CHEMBL3675758,0,O=C(CCCCCCN(c1ccccn1)c1ccc2ccccc2n1)NO,IC50,=,157,nM,CHEMBL3708018,In Vitro Assay: In vitro HDAC assays were performed using a HDAC fluorescent activity assay kit (Biomol,,,,,,,,,,,,,,,,,,,,
CHEMBL3774414,0,COc1ccc(N(C)c2nc(C)nc3ccccc23)cc1OCCCC(=O)NO,IC50,>,10000,nM,CHEMBL3778488,Inhibition of recombinant HDAC7 (unknown origin) using AMC labeled AC-peptide as substrate incubated for 1 hr by fluorescence analysis,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL3774354,1,Scientific Literature,J Med Chem,2016,None,,
CHEMBL2364628,0,O=C(CCCCCCNC(=O)c1cnc(N(c2ccccc2)c2ccccc2)nc1)NO,IC50,>,10000,nM,CHEMBL3778488,Inhibition of recombinant HDAC7 (unknown origin) using AMC labeled AC-peptide as substrate incubated for 1 hr by fluorescence analysis,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL3774354,1,Scientific Literature,J Med Chem,2016,None,,
CHEMBL98,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL408513,0,O=C(/C=C/c1cccc(S(=O)(=O)Nc2ccccc2)c1)NO,Ki,=,75,nM,CHEMBL3598918,Inhibition of human HDAC7,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL3596180,1,Scientific Literature,Bioorg Med Chem,2015,None,,
CHEMBL356066,0,O=C(/C=C/c1ccc(CN(CCO)CCc2c[nH]c3ccccc23)cc1)NO,Ki,=,9500,nM,CHEMBL3598918,Inhibition of human HDAC7,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL3596180,1,Scientific Literature,Bioorg Med Chem,2015,None,,
CHEMBL1851943,0,CCCCc1nc2cc(/C=C/C(=O)NO)ccc2n1CCN(CC)CC,Ki,=,107,nM,CHEMBL3598918,Inhibition of human HDAC7,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL3596180,1,Scientific Literature,Bioorg Med Chem,2015,None,,
CHEMBL1213492,0,CCN(CC)Cc1ccc2cc(COC(=O)Nc3ccc(C(=O)NO)cc3)ccc2c1,Ki,=,240,nM,CHEMBL3598918,Inhibition of human HDAC7,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL3596180,1,Scientific Literature,Bioorg Med Chem,2015,None,,
CHEMBL3427753,0,NC(=O)C1CCCc2c(-c3ccc(F)cc3)n[nH]c21,Inhibition,,,%,CHEMBL3430209,Inhibition of HDAC7 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL3425433,1,Scientific Literature,Bioorg Med Chem Lett,2015,None,,
CHEMBL3427754,0,Cc1ccc(-c2n[nH]c3c2CCCC3C(N)=O)cc1,Inhibition,,,%,CHEMBL3430209,Inhibition of HDAC7 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL3425433,1,Scientific Literature,Bioorg Med Chem Lett,2015,None,,
CHEMBL3427758,0,NC(=O)C1CCCc2c(-c3cc(Br)cs3)n[nH]c21,Inhibition,,,%,CHEMBL3430209,Inhibition of HDAC7 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL3425433,1,Scientific Literature,Bioorg Med Chem Lett,2015,None,,
CHEMBL3427778,0,NC(=O)C1Cc2ccccc2Cc2c(-c3ccc(Cl)cc3)n[nH]c21,Inhibition,,,%,CHEMBL3430209,Inhibition of HDAC7 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL3425433,1,Scientific Literature,Bioorg Med Chem Lett,2015,None,,
CHEMBL3110023,0,Cn1cc([C@H]2[C@H](C(=O)NO)[C@@H]2c2ccccc2)cn1,IC50,=,460,nM,CHEMBL3112172,Inhibition of human recombinant HDAC7 catalytic domain using Boc_Lys_TFA as substrate after 60 mins by fluorescence assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL3108758,1,Scientific Literature,J Med Chem,2013,None,,
CHEMBL2436595,0,CC(C)[C@@H]1NC(=O)[C@]2(C)CSC(=N2)c2coc(n2)CNC(=O)C[C@@H](/C=C/CCS)OC1=O,IC50,=,960,nM,CHEMBL2437615,Inhibition of HDAC7 (unknown origin) using MAZ1600 and MAZ1675 as substrate assessed as fluorogenic release of 7-amino-4-methylcoumarin from substrate by optimized homogenous assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL2434914,1,Scientific Literature,Bioorg Med Chem Lett,2013,None,,
CHEMBL1934899,2,O=C(NO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)Nc1ccc(-c2cn(-c3ccccc3)nn2)cc1,Kd,=,30000,nM,CHEMBL1937194,Inhibition of recombinant human HDAC7 using Boc-L-Lys(trifluoroacetyl)-MCA as substrate by fluorogenic enzymatic assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL1932952,1,Scientific Literature,Bioorg Med Chem,2012,None,,
CHEMBL1800375,0,Cc1cc(O)nc(SCC(=O)c2ccc(Cl)cc2)n1,IC50,>,100000,nM,CHEMBL1804896,Inhibition of recombinant HDAC7 assessed as inhibition of fluorogenic aminocoumarin release from substrate by trypsin-coupled biochemical assay,B,BAO_0000357,single protein format,None,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL1800036,1,Scientific Literature,Bioorg Med Chem Lett,2011,None,,
CHEMBL1800376,0,Cc1cc(O)nc(SCC(=O)c2ccc(O)cc2)n1,IC50,>,100000,nM,CHEMBL1804896,Inhibition of recombinant HDAC7 assessed as inhibition of fluorogenic aminocoumarin release from substrate by trypsin-coupled biochemical assay,B,BAO_0000357,single protein format,None,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL1800036,1,Scientific Literature,Bioorg Med Chem Lett,2011,None,,
CHEMBL3605506,1,Nc1ccccc1NC(=O)c1ccc(CNC2=N[C@H](c3ccccc3)[C@H](c3ccccc3)O2)cc1,IC50,>,100000,nM,CHEMBL3606705,Inhibition of HDAC7 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL3603817,1,Scientific Literature,J Med Chem,2015,None,,
CHEMBL3335298,0,O=C(CCCCc1ccn(Cc2ccc(-n3ccc4ccccc43)cc2)n1)NO,Inhibition,,,%,CHEMBL3389423,Inhibition of human recombinant HDAC7 up to 10 uM after 60 mins by fluorimetric assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL3352093,1,Scientific Literature,Eur J Med Chem,2014,None,,
CHEMBL3335300,0,O=C(CCCCc1ccn(Cc2ccc(-c3ccccc3)cc2)n1)NO,Inhibition,,,%,CHEMBL3389423,Inhibition of human recombinant HDAC7 up to 10 uM after 60 mins by fluorimetric assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL3352093,1,Scientific Literature,Eur J Med Chem,2014,None,,
CHEMBL2431901,0,Cn1cccc1C(=O)N1CCc2cc(C(=O)NO)ccc2C1,IC50,>,50000,nM,CHEMBL2433159,Inhibition of N-terminal GST-tagged recombinant human HDAC7 (518) expressed in baculovirus using acetyl-Lys(trifluoroacetyl)-AMC as substrate after 1 hr by fluorescence plate reader analysis,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL2429834,1,Scientific Literature,J Med Chem,2013,None,,
CHEMBL272980,0,Nc1ccccc1NC(=O)c1ccc(CNc2nccc(-c3cccnc3)n2)cc1,IC50,>,10000,nM,CHEMBL1050116,Inhibition of human recombinant N-terminal FLAG-tagged HDAC7 (438-915) expressed in baculovirus after 10 mins by fluorimetric analysis,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL1155182,1,Scientific Literature,Bioorg Med Chem Lett,2009,None,,
CHEMBL4469098,0,O=C(NO)c1ccc(CN2c3ccccc3CC[C@@H]3CCCC[C@H]32)cc1,IC50,>,30000,nM,CHEMBL4422772,Inhibition of human HDAC7 using fluorogenic HDAC substrate,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL4422610,1,Scientific Literature,Eur J Med Chem,2018,None,,
CHEMBL4640356,0,O=C(NO)c1ccc(NC(=O)C2(c3c[nH]c(-c4ccccc4)n3)CCCC2)cc1,IC50,=,470,nM,CHEMBL4606154,Inhibition of human recombinant HDAC7 pre-incubated for 15 mins before Ac-Leu-Gly-Lys(trifluroAc)-AMC substrate addition and measured after 60 mins by fluorescence based assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL4602725,1,Scientific Literature,J Med Chem,2020,None,,
CHEMBL1958433,0,COc1ccccc1N1CCN(S(=O)(=O)c2cccc(/C=C/C(=O)NO)c2)CC1,ED50,,,,CHEMBL1961037,Inhibition of human recombinant HDAC7 expressed using baculovirus expression system using Flour- De-Lys as substrate after 3 hrs by fluorescence analysis,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL1955831,1,Scientific Literature,Bioorg Med Chem Lett,2012,None,,
CHEMBL406800,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL402363,1,CC(C)[C@H]1NC(=O)[C@@H](C)[C@@H](C/C=C\CCC(=O)O)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H](C)NC1=O,IC50,=,9700,nM,CHEMBL948015,Inhibition of HDAC7,B,BAO_0000357,single protein format,None,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL1142268,1,Scientific Literature,J Med Chem,2008,None,,
CHEMBL403323,0,O=C(/C=C/c1ccc(CN(CCO)CCc2cc3ccccc3[nH]2)cc1)NO,IC50,,,,CHEMBL948015,Inhibition of HDAC7,B,BAO_0000357,single protein format,None,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL1142268,1,Scientific Literature,J Med Chem,2008,None,,
