Molecule ChEMBL ID,#RO5 Violations,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID
CHEMBL401751,1,Nc1ccccc1NC(=O)c1ccc(CNc2nc(NCCN3CCOCC3)nc(NC3Cc4ccccc4C3)n2)cc1,Activity,,,,0,CHEMBL931665,Activity against HDAC4,B,BAO_0000357,single protein format,None,None,None,None,None,CHEMBL3524,Histone deacetylase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL1143113,1,Scientific Literature,Bioorg Med Chem Lett,2008,None
CHEMBL1958439,0,COc1ccc(NS(=O)(=O)c2cccc(/C=C/C(=O)NO)c2)cc1,ED50,=,33,nM,0,CHEMBL1961039,Inhibition of human recombinant HDAC4 expressed using baculovirus expression system using Flour- De-Lys as substrate after 3 hrs by fluorescence analysis,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,CHEMBL3524,Histone deacetylase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL1955831,1,Scientific Literature,Bioorg Med Chem Lett,2012,None
CHEMBL98,0,O=C(CCCCCCC(=O)Nc1ccccc1)NO,Activity,,,,0,CHEMBL936413,Inhibition of human HDAC4 in U937 cells by immunoprecipitation assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,U-937,None,CHEMBL3524,Histone deacetylase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL1144847,1,Scientific Literature,Bioorg Med Chem Lett,2008,CHEMBL3308006
CHEMBL27759,0,Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1,Inhibition,=,0,%,0,CHEMBL936421,Inhibition of human HDAC4 in U937 cells at 5 uM,B,BAO_0000219,cell-based format,Homo sapiens,None,None,U-937,None,CHEMBL3524,Histone deacetylase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL1144847,1,Scientific Literature,Bioorg Med Chem Lett,2008,CHEMBL3308006
CHEMBL270224,None,[N-]=[N+]=Nc1ccc(C(=O)NC(CCCCNC(=O)CCCCC2SCC3NC(=O)NC32)C(=O)NCCSSCCC(=O)NCCCCCCN(CCc2c[nH]c3ccccc23)Cc2ccc(/C=C/C(=O)NO)cc2)cc1,IC50,=,4,nM,0,CHEMBL931615,Inhibition of flag tagged HDAC4 in HEK293 cells,B,BAO_0000219,cell-based format,None,None,None,HEK293,None,CHEMBL3524,Histone deacetylase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL1144011,1,Scientific Literature,Bioorg Med Chem Lett,2008,CHEMBL3307715
CHEMBL260596,2,Nc1cccc2cccc(NC(=O)CCCCCc3nc(-c4ccc(-c5ccccc5)cc4)cc(=O)[nH]3)c12,Activity,=,96.5,%,0,CHEMBL936426,Inhibition of human HDAC4 in U937 cells assessed as residual activity at 5 uM,B,BAO_0000219,cell-based format,Homo sapiens,None,None,U-937,None,CHEMBL3524,Histone deacetylase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL1144847,1,Scientific Literature,Bioorg Med Chem Lett,2008,CHEMBL3308006
CHEMBL1173445,2,CCCCCCCC(=O)SCC/C=C/[C@@H]1CC(=O)NCc2nc(cs2)C2=N[C@@](C)(CS2)C(=O)N[C@@H](C(C)C)C(=O)O1,Inhibition,,,%,0,CHEMBL1177020,Inhibition of human recombinant HDAC4 at 5 uM after 15 mins by fluorimetric assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL3524,Histone deacetylase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL1177705,1,Scientific Literature,J Med Chem,2010,None
CHEMBL98346,0,O=C(CCc1ccc(NS(=O)(=O)c2ccccc2)cc1)NO,EC50,=,5000,nM,0,CHEMBL811365,Inhibition of acetylation of histone-4 in human T-24 cancer cells,F,BAO_0000219,cell-based format,None,None,None,T-24,None,CHEMBL3524,Histone deacetylase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL1145900,1,Scientific Literature,J Med Chem,2003,CHEMBL3307700
CHEMBL97387,0,CN(c1ccc(/C=C/C(=O)NO)cc1)S(=O)(=O)c1ccccc1,EC50,>,25000,nM,0,CHEMBL811365,Inhibition of acetylation of histone-4 in human T-24 cancer cells,F,BAO_0000219,cell-based format,None,None,None,T-24,None,CHEMBL3524,Histone deacetylase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL1145900,1,Scientific Literature,J Med Chem,2003,CHEMBL3307700
CHEMBL3827281,2,COc1ccc(-c2nc(N3CCOCC3)c3nc(CN(C)c4ncc(C(=O)NO)cn4)n(C)c3n2)cn1,IC50,>,1000,nM,0,CHEMBL3829035,Inhibition of N-terminal GST/C-terminal His-tagged human recombinant HDAC4 (627 to 1084 residues) expressed in baculovirus infected insect Sf9 cells using Ac-peptide-AMC as substrate assessed as release of AMC preincubated for 15 mins followed by substrate addition measured after 1 hr by fluorescence assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf9,None,CHEMBL3524,Histone deacetylase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3826921,1,Scientific Literature,J Med Chem,2016,CHEMBL3308860
CHEMBL2414810,0,FC(F)(F)c1nc(-c2cnc(NCc3cccnc3)nc2)no1,IC50,=,140,nM,0,CHEMBL2416792,Inhibition of recombinant human HDAC-4 (2 to 1084) expressed in baculovirus infected Sf9 cells using acetyl-Gly-Ala-Lys(E-trifluoroacetyl)-AMC as substrate after2 hrs by fluorescence microplate reader analysis,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf9,None,CHEMBL3524,Histone deacetylase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL2413070,1,Scientific Literature,ACS Med Chem Lett,2013,CHEMBL3308860
CHEMBL146250,2,C/C=C1\NC(=O)[C@@H](CS)NC(=O)[C@@H](C(C)C)NC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,IC50,=,470,nM,0,CHEMBL1838190,Inhibition of recombinant human HDAC4 using Boc-L-Lys(epsilon-trifluoroacetyl)-AMC as substrate by two-step fluorogenic assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL3524,Histone deacetylase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL1833850,1,Scientific Literature,J Nat Prod,2011,None
CHEMBL3794485,0,O=C(NO)[C@]1(F)[C@H](c2ccccc2)[C@H]1c1ccc(-c2ncc(OC(F)F)cn2)cc1,IC50,=,150,nM,0,CHEMBL3796125,Inhibition of HDAC4 in human Jurkat E6-1 cells using Lys-TFA as substrate,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Jurkat,None,CHEMBL3524,Histone deacetylase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3792315,1,Scientific Literature,ACS Med Chem Lett,2016,CHEMBL3307526
CHEMBL3110015,0,O=C(NO)[C@@H]1[C@H](c2ccccc2)[C@H]1c1ccc(-c2ncc(F)cn2)cc1,K,=,190270,1/M.sec,0,CHEMBL3796506,Binding affinity to HDAC4 catalytic domain (unknown origin) assessed as association rate constant,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL3524,Histone deacetylase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3792315,1,Scientific Literature,ACS Med Chem Lett,2016,None
CHEMBL3110015,0,O=C(NO)[C@@H]1[C@H](c2ccccc2)[C@H]1c1ccc(-c2ncc(F)cn2)cc1,K,=,0.0186,/s,0,CHEMBL3796507,Binding affinity to HDAC4 catalytic domain (unknown origin) assessed as dissociation rate constant,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL3524,Histone deacetylase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3792315,1,Scientific Literature,ACS Med Chem Lett,2016,None
CHEMBL3793739,0,O=C(NO)[C@@H]1[C@H](c2ccccc2)[C@H]1c1ccc(-c2ncc(OC(F)F)cn2)cc1,IC50,=,150,nM,0,CHEMBL3796508,Inhibition of HDAC4 catalytic domain (unknown origin) using Boc-Lys(TFA)-AMC as substrate,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL3524,Histone deacetylase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3792315,1,Scientific Literature,ACS Med Chem Lett,2016,None
CHEMBL3794334,0,O=C(NO)[C@@H]1[C@H](c2ccccc2)[C@H]1c1ccc(-c2nccc(C(F)(F)F)n2)cc1,IC50,=,80,nM,0,CHEMBL3796508,Inhibition of HDAC4 catalytic domain (unknown origin) using Boc-Lys(TFA)-AMC as substrate,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL3524,Histone deacetylase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3792315,1,Scientific Literature,ACS Med Chem Lett,2016,None
CHEMBL3793455,0,Cc1cnc(-c2ccc([C@@H]3[C@@H](c4ccccc4)[C@@]3(Cl)C(=O)NO)cc2)nc1,IC50,=,1150,nM,0,CHEMBL3796125,Inhibition of HDAC4 in human Jurkat E6-1 cells using Lys-TFA as substrate,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Jurkat,None,CHEMBL3524,Histone deacetylase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3792315,1,Scientific Literature,ACS Med Chem Lett,2016,CHEMBL3307526
CHEMBL3793569,0,Cc1cnc(-c2ccc([C@@H]3[C@@H](c4ccccc4)[C@@]3(C)C(=O)NO)cc2)nc1,IC50,=,730,nM,0,CHEMBL3796125,Inhibition of HDAC4 in human Jurkat E6-1 cells using Lys-TFA as substrate,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Jurkat,None,CHEMBL3524,Histone deacetylase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3792315,1,Scientific Literature,ACS Med Chem Lett,2016,CHEMBL3307526
CHEMBL2093007,1,C/C=C1\NC(=O)[C@@H](CSC)NC(=O)[C@@H](C(C)C)CC(=O)C[C@@H](/C=C/CCSC)OC(=O)[C@H](C(C)C)NC1=O,IC50,=,110000,nM,0,CHEMBL698806,Inhibitory concentration against human Histone deacetylase 4,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL3524,Histone deacetylase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL1145900,1,Scientific Literature,J Med Chem,2003,None
CHEMBL1767031,0,CNC(=O)/C(CCCCCCC(=O)Nc1cnc2ccccc2c1)=N\O,IC50,>,100000,nM,0,CHEMBL1767469,Inhibition of human HDAC4 using ArgHisLysLys(Ac) fluorogenic peptide as a substrate by fluorimetric assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL3524,Histone deacetylase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL1765034,1,Scientific Literature,J Med Chem,2011,None
CHEMBL1767041,0,CNC(=O)/C(CCCCCCNC(=O)c1cc(-c2cccc(NC(=O)OC(C)(C)C)c2)on1)=N/O,IC50,>,100000,nM,0,CHEMBL1767469,Inhibition of human HDAC4 using ArgHisLysLys(Ac) fluorogenic peptide as a substrate by fluorimetric assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL3524,Histone deacetylase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL1765034,1,Scientific Literature,J Med Chem,2011,None
CHEMBL1767042,0,CNC(=O)/C(CCCCCCNC(=O)c1cc(-c2ccc(NC(=O)OC(C)(C)C)cc2)on1)=N/O,IC50,>,100000,nM,0,CHEMBL1767469,Inhibition of human HDAC4 using ArgHisLysLys(Ac) fluorogenic peptide as a substrate by fluorimetric assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL3524,Histone deacetylase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL1765034,1,Scientific Literature,J Med Chem,2011,None
CHEMBL1767044,0,CNC(=O)/C(CCCCCCNC(=O)c1cc(-c2ccc(N)cc2)on1)=N/O,IC50,=,48800,nM,0,CHEMBL1767469,Inhibition of human HDAC4 using ArgHisLysLys(Ac) fluorogenic peptide as a substrate by fluorimetric assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL3524,Histone deacetylase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL1765034,1,Scientific Literature,J Med Chem,2011,None
CHEMBL1767047,2,CNC(=O)/C(CCCCC[C@@H](C(=O)Nc1ccccc1)N(Cc1ccccc1)Cc1ccccc1)=N\O,IC50,>,100000,nM,0,CHEMBL1767469,Inhibition of human HDAC4 using ArgHisLysLys(Ac) fluorogenic peptide as a substrate by fluorimetric assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL3524,Histone deacetylase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL1765034,1,Scientific Literature,J Med Chem,2011,None
CHEMBL99,0,CC(/C=C/C(=O)NO)=C\[C@@H](C)C(=O)c1ccc(N(C)C)cc1,EC50,=,1000,nM,0,CHEMBL811365,Inhibition of acetylation of histone-4 in human T-24 cancer cells,F,BAO_0000219,cell-based format,None,None,None,T-24,None,CHEMBL3524,Histone deacetylase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL1145900,1,Scientific Literature,J Med Chem,2003,CHEMBL3307700
CHEMBL419758,0,O=C(CCCCCCS)Nc1nc(-c2ccccc2)cs1,IC50,=,32,nM,0,CHEMBL898810,Inhibition of human recombinant HDAC4 expressed in 293 cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,CHEMBL3524,Histone deacetylase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL1137620,1,Scientific Literature,J Med Chem,2007,CHEMBL3307715
CHEMBL99,0,CC(/C=C/C(=O)NO)=C\[C@@H](C)C(=O)c1ccc(N(C)C)cc1,IC50,=,20,nM,0,CHEMBL827902,Inhibition of human histone deacetylase 4 prepared from 293T cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,293T,None,CHEMBL3524,Histone deacetylase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL1137993,1,Scientific Literature,Bioorg Med Chem Lett,2004,None
CHEMBL27759,0,Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1,IC50,=,3017,nM,0,CHEMBL973337,Inhibition of flag-tagged HDAC4 by Biomol assay,B,BAO_0000357,single protein format,None,None,None,None,None,CHEMBL3524,Histone deacetylase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL1156529,1,Scientific Literature,Proc Natl Acad Sci U S A,2007,None
CHEMBL430060,1,CCC(=O)CCCCC[C@@H]1NC(=O)[C@H]2CCCCN2C(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC1=O,IC50,=,2.4,nM,0,CHEMBL973336,Inhibition of flag-tagged HDAC4 by pull-down assay,B,BAO_0000357,single protein format,None,None,None,None,None,CHEMBL3524,Histone deacetylase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL1156529,1,Scientific Literature,Proc Natl Acad Sci U S A,2007,None
CHEMBL430060,1,CCC(=O)CCCCC[C@@H]1NC(=O)[C@H]2CCCCN2C(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC1=O,Activity,,,,0,CHEMBL974274,Inhibition of HDAC4 catalytic domain expressed in HEK293 cells upto 10,,,,,,,,,,,,,,,,,,
CHEMBL257632,0,Nc1nc(NCc2ccc(C(=O)Nc3ccccc3N)cc2)nc(N2CCOCC2)n1,Activity,,,,0,CHEMBL931665,Activity against HDAC4,B,BAO_0000357,single protein format,None,None,None,None,None,CHEMBL3524,Histone deacetylase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL1143113,1,Scientific Literature,Bioorg Med Chem Lett,2008,None
CHEMBL2417783,0,Cc1onc(-c2ccccc2)c1C(=O)NCCCCCNC(=O)CS,IC50,=,10000,nM,0,CHEMBL2424278,Inhibition of HDAC4 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL3524,Histone deacetylase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL2417402,1,Scientific Literature,J Med Chem,2013,None
CHEMBL2178760,3,O=C(NCCSSCCNC(=O)/C(Cc1c[nH]c2ccc(Cl)cc12)=N/O)/C(Cc1c[nH]c2ccc(Cl)cc12)=N/O,Inhibition,,,%,0,CHEMBL2188401,Inhibition of HDAC4 in human U937 cells at 5 uM by DNMTs assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,U-937,None,CHEMBL3524,Histone deacetylase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL2177007,1,Scientific Literature,J Med Chem,2012,CHEMBL3308006
CHEMBL2178759,2,O=C(NCCSSCCNC(=O)/C(Cc1c[nH]c2ccc(F)cc12)=N/O)/C(Cc1c[nH]c2ccc(F)cc12)=N/O,Inhibition,,,%,0,CHEMBL2188401,Inhibition of HDAC4 in human U937 cells at 5 uM by DNMTs assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,U-937,None,CHEMBL3524,Histone deacetylase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL2177007,1,Scientific Literature,J Med Chem,2012,CHEMBL3308006
CHEMBL2178758,2,O=C(NCCSSCCNC(=O)/C(Cc1c[nH]c2ccccc12)=N/O)/C(Cc1c[nH]c2ccccc12)=N/O,Inhibition,=,20,%,0,CHEMBL2188401,Inhibition of HDAC4 in human U937 cells at 5 uM by DNMTs assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,U-937,None,CHEMBL3524,Histone deacetylase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL2177007,1,Scientific Literature,J Med Chem,2012,CHEMBL3308006
CHEMBL2178757,3,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3109979,0,O=C(NO)[C@@H]1[C@H](c2ccccc2)[C@H]1c1ccc2c(c1)OCCO2,IC50,>,50000,nM,0,CHEMBL3112166,Inhibition of HDAC4 in human Jurkat E6.1 cells using Boc-Lys-Ac as substrate incubated for 2 hrs prior to substrate addition measured after 3 hrs by fluorescence assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Jurkat,None,CHEMBL3524,Histone deacetylase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3108758,1,Scientific Literature,J Med Chem,2013,CHEMBL3307526
CHEMBL3110014,0,O=C(NO)[C@@H]1[C@H](c2ccccc2)[C@H]1c1ccc(-c2ncccn2)cc1,IC50,>,50000,nM,0,CHEMBL3112166,Inhibition of HDAC4 in human Jurkat E6.1 cells using Boc-Lys-Ac as substrate incubated for 2 hrs prior to substrate addition measured after 3 hrs by fluorescence assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Jurkat,None,CHEMBL3524,Histone deacetylase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3108758,1,Scientific Literature,J Med Chem,2013,CHEMBL3307526
CHEMBL3109985,0,O=C(NO)[C@@H]1[C@H](c2ccccc2)[C@H]1c1ccc(-c2cnc(C3CC3)o2)cc1,IC50,=,300,nM,0,CHEMBL3112167,Inhibition of HDAC4 in human Jurkat E6.1 cells using Boc-Lys-TFA as substrate incubated for 2 hrs prior to substrate addition measured after 3 hrs by fluorescence assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Jurkat,None,CHEMBL3524,Histone deacetylase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3108758,1,Scientific Literature,J Med Chem,2013,CHEMBL3307526
CHEMBL3109984,0,Cc1ncc(-c2ccc([C@H]3[C@H](C(=O)NO)[C@@H]3c3ccccc3)cc2)o1,IC50,=,330,nM,0,CHEMBL3112167,Inhibition of HDAC4 in human Jurkat E6.1 cells using Boc-Lys-TFA as substrate incubated for 2 hrs prior to substrate addition measured after 3 hrs by fluorescence assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Jurkat,None,CHEMBL3524,Histone deacetylase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3108758,1,Scientific Literature,J Med Chem,2013,CHEMBL3307526
CHEMBL3086768,0,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3086767,0,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL2177582,0,CN1C[C@H](C(=O)Nc2ccc(Cl)cc2)[C@@H](c2ccc(/C=C/C(=O)Nc3ccccc3N)cc2F)C1,IC50,=,46000,nM,0,CHEMBL2182326,Inhibition of HDAC4 using p53 (379 to 382 residues) based fluorogenic peptide substrate,B,BAO_0000357,single protein format,None,None,None,None,None,CHEMBL3524,Histone deacetylase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL2177000,1,Scientific Literature,J Med Chem,2012,None
CHEMBL2398523,1,O=C(NCc1ccc2ccccc2c1)c1cc(NCc2ccco2)c(O)c(NCc2ccco2)c1,Activity,>,75,%,0,CHEMBL2399516,Inhibition of recombinant human HDAC4 using acetyl-Lys-(trifluoroacetyl)-AMC as substrate assessed as residual activity at 3.3 x 10'-5 M after 2 hrs by fluorescence assay relative to control,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL3524,Histone deacetylase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL2396570,1,Scientific Literature,Bioorg Med Chem,2013,None
CHEMBL3235787,1,COc1ccc(-c2ccc(/C=C/C=C/C(=O)NO)cc2)cc1C12CC3CC(CC(C3)C1)C2,IC50,>,100000,nM,0,CHEMBL3238607,Inhibition of human HDAC4 using fluorogenic tetrapeptide RHKKAc as substrate,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL3524,Histone deacetylase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3232764,1,Scientific Literature,Eur J Med Chem,2014,None
CHEMBL4517151,0,Cc1ccc(CN2CCC(c3noc(CN(C)c4ncc(C(=O)NO)cn4)n3)CC2)cc1,IC50,=,473,nM,0,CHEMBL4364744,Inhibition of recombinant full length human HDAC4 expressed in sf9 insect cells using Ac-peptide-AMC as substrate after 1 hr by fluorescence assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf9,None,CHEMBL3524,Histone deacetylase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL4364248,1,Scientific Literature,Eur J Med Chem,2019,CHEMBL3308860
CHEMBL4164821,0,CC(C)(C(=O)Nc1ccc(C(=O)Nc2ccccc2N)cc1)c1ccccc1,Inhibition,=,6,%,0,CHEMBL4133867,Inhibition of human HDAC4 at 1 uM using Boc-Lys(trifluoroacetyl)-AMC substrate,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL3524,Histone deacetylase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL4130443,1,Scientific Literature,Eur J Med Chem,2017,None
CHEMBL2018302,0,CN1CCc2c(c3ccccc3n2Cc2ccc(C(=O)NO)cc2)C1,IC50,>,30000,nM,1,CHEMBL4141507,Inhibition of HDAC4 (unknown origin) using Boc-Lys(acetyl)-AMC as substrate after 30 mins by fluorescence assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL3524,Histone deacetylase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL4138147,1,Scientific Literature,Eur J Med Chem,2017,None
