Molecule ChEMBL ID,#RO5 Violations,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID
CHEMBL402363,1,CC(C)[C@H]1NC(=O)[C@@H](C)[C@@H](C/C=C\CCC(=O)O)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H](C)NC1=O,IC50,=,10000,nM,CHEMBL948014,Inhibition of HDAC5,B,BAO_0000357,single protein format,None,CHEMBL2563,Histone deacetylase 5,Homo sapiens,SINGLE PROTEIN,CHEMBL1142268,1,Scientific Literature,J Med Chem,2008,None
CHEMBL235674,1,Nc1ccc(-c2cccs2)cc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1,Activity,,,,CHEMBL927765,Inhibition of HDAC5,B,BAO_0000357,single protein format,None,CHEMBL2563,Histone deacetylase 5,Homo sapiens,SINGLE PROTEIN,CHEMBL1140803,1,Scientific Literature,Bioorg Med Chem Lett,2008,None
CHEMBL1631917,0,COc1cc2cc(c1)COc1ccccc1NC(=O)[C@H](CCCCCC(=O)NO)OCCC2,IC50,=,109,nM,CHEMBL1634305,Inhibition of human HDAC5 by fluorimetric assay,B,BAO_0000357,single protein format,Homo sapiens,CHEMBL2563,Histone deacetylase 5,Homo sapiens,SINGLE PROTEIN,CHEMBL1629537,1,Scientific Literature,J Med Chem,2010,None
CHEMBL561209,0,COc1ccc(-c2ccc(/C=C/C(=O)NO)cc2)cc1,IC50,=,29600,nM,CHEMBL3238608,Inhibition of human HDAC5 using fluorogenic tetrapeptide RHKKAc as substrate,B,BAO_0000357,single protein format,Homo sapiens,CHEMBL2563,Histone deacetylase 5,Homo sapiens,SINGLE PROTEIN,CHEMBL3232764,1,Scientific Literature,Eur J Med Chem,2014,None
CHEMBL98,0,O=C(CCCCCCC(=O)Nc1ccccc1)NO,IC50,=,378,nM,CHEMBL3242745,Inhibition of human HDAC-5 using RHKK(Ac) as substrate by fluorescence assay,B,BAO_0000357,single protein format,Homo sapiens,CHEMBL2563,Histone deacetylase 5,Homo sapiens,SINGLE PROTEIN,CHEMBL3232837,1,Scientific Literature,J Med Chem,2014,None
CHEMBL235842,0,CC(=O)Nc1ccc(C(=O)Nc2cc(-c3cccs3)ccc2N)cc1,IC50,>,10000,nM,CHEMBL947925,Inhibition of HDAC5,B,BAO_0000357,single protein format,None,CHEMBL2563,Histone deacetylase 5,Homo sapiens,SINGLE PROTEIN,CHEMBL1143185,1,Scientific Literature,Bioorg Med Chem Lett,2008,None
CHEMBL98,0,O=C(CCCCCCC(=O)Nc1ccccc1)NO,IC50,,,,CHEMBL948014,Inhibition of HDAC5,B,BAO_0000357,single protein format,None,CHEMBL2563,Histone deacetylase 5,Homo sapiens,SINGLE PROTEIN,CHEMBL1142268,1,Scientific Literature,J Med Chem,2008,None
CHEMBL3621988,0,Nc1cc(F)ccc1NC(=O)c1ccc(CNC(=O)/C=C/c2cccnc2)cc1,Inhibition,,,%,CHEMBL4387981,Inhibition of HDAC5 (unknown origin) using Fluor de Lys substrate by fluorescence assay relative to control,B,BAO_0000357,single protein format,Homo sapiens,CHEMBL2563,Histone deacetylase 5,Homo sapiens,SINGLE PROTEIN,CHEMBL4387704,1,Scientific Literature,Eur J Med Chem,2019,None
CHEMBL3427771,0,CC1(C)Cc2c(-c3ccc(Cl)c(Cl)c3)n[nH]c2C(C(N)=O)C1,Inhibition,,,%,CHEMBL3430208,Inhibition of HDAC5 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,CHEMBL2563,Histone deacetylase 5,Homo sapiens,SINGLE PROTEIN,CHEMBL3425433,1,Scientific Literature,Bioorg Med Chem Lett,2015,None
CHEMBL483254,0,,,,,,,,,,,,,,,,,,,,,
CHEMBL99,0,CC(/C=C/C(=O)NO)=C\[C@@H](C)C(=O)c1ccc(N(C)C)cc1,Inhibition,=,10.8,%,CHEMBL3738432,Inhibition of human recombinant HDAC5 at 20 uM using Boc-Lys(Tfa)-AMC as substrate after 30 to 60 mins by microplate reader assay,B,BAO_0000357,single protein format,Homo sapiens,CHEMBL2563,Histone deacetylase 5,Homo sapiens,SINGLE PROTEIN,CHEMBL3734759,1,Scientific Literature,Medchemcomm,2015,None
CHEMBL483254,0,Cc1[nH]c2ccccc2c1CCNCc1ccc(/C=C/C(=O)NO)cc1,IC50,=,190,nM,CHEMBL3778487,Inhibition of recombinant HDAC5 (unknown origin) using AMC labeled AC-peptide as substrate incubated for 1 hr by fluorescence analysis,B,BAO_0000357,single protein format,Homo sapiens,CHEMBL2563,Histone deacetylase 5,Homo sapiens,SINGLE PROTEIN,CHEMBL3774354,1,Scientific Literature,J Med Chem,2016,None
CHEMBL2018302,0,CN1CCc2c(c3ccccc3n2Cc2ccc(C(=O)NO)cc2)C1,IC50,>,30000,nM,CHEMBL3388104,Inhibition of C-terminal 6x-His tagged human HDAC5 (657 to 1123 residues) using fluorogenic acetyl-Lys(trifluoroacetyl)-AMC substrate incubated for 2 hrs by fluorescence assay,B,BAO_0000357,single protein format,Homo sapiens,CHEMBL2563,Histone deacetylase 5,Homo sapiens,SINGLE PROTEIN,CHEMBL3351349,1,Scientific Literature,Bioorg Med Chem Lett,2014,None
CHEMBL3621294,0,O=C(CCCCCCC(=O)Nc1ccc2c(c1)/C(=C/c1ccc[nH]1)C(=O)N2)NO,IC50,=,850,nM,CHEMBL3626712,Inhibition of HDAC5 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,CHEMBL2563,Histone deacetylase 5,Homo sapiens,SINGLE PROTEIN,CHEMBL3621077,1,Scientific Literature,Medchemcomm,2014,None
CHEMBL3109983,0,O=C(NO)[C@@H]1[C@H](c2ccccc2)[C@H]1c1ccc2c(c1)CN(CC(F)(F)F)C2=O,IC50,=,9,nM,CHEMBL3112173,Inhibition of human recombinant HDAC5 catalytic domain using Boc_Lys_TFA as substrate after 60 mins by fluorescence assay,B,BAO_0000357,single protein format,Homo sapiens,CHEMBL2563,Histone deacetylase 5,Homo sapiens,SINGLE PROTEIN,CHEMBL3108758,1,Scientific Literature,J Med Chem,2013,None
CHEMBL3110005,0,O=C(NO)C1[C@H](c2ccccc2)[C@H]1c1ccccc1,IC50,=,340,nM,CHEMBL3112173,Inhibition of human recombinant HDAC5 catalytic domain using Boc_Lys_TFA as substrate after 60 mins by fluorescence assay,B,BAO_0000357,single protein format,Homo sapiens,CHEMBL2563,Histone deacetylase 5,Homo sapiens,SINGLE PROTEIN,CHEMBL3108758,1,Scientific Literature,J Med Chem,2013,None
CHEMBL1800374,0,Cc1cc(O)nc(SCC(=O)c2ccc(C(C)(C)C)cc2)n1,IC50,=,94300,nM,CHEMBL1804894,Inhibition of recombinant HDAC5 assessed as inhibition of fluorogenic aminocoumarin release from substrate by trypsin-coupled biochemical assay,B,BAO_0000357,single protein format,None,CHEMBL2563,Histone deacetylase 5,Homo sapiens,SINGLE PROTEIN,CHEMBL1800036,1,Scientific Literature,Bioorg Med Chem Lett,2011,None
CHEMBL1800379,0,Cc1cc(O)nc(SCC(=O)c2cccs2)n1,IC50,>,100000,nM,CHEMBL1804894,Inhibition of recombinant HDAC5 assessed as inhibition of fluorogenic aminocoumarin release from substrate by trypsin-coupled biochemical assay,B,BAO_0000357,single protein format,None,CHEMBL2563,Histone deacetylase 5,Homo sapiens,SINGLE PROTEIN,CHEMBL1800036,1,Scientific Literature,Bioorg Med Chem Lett,2011,None
CHEMBL1800385,0,Cc1cc(O)nc(SCC(=O)NCCCCCCc2ccccc2)n1,IC50,>,100000,nM,CHEMBL1804894,Inhibition of recombinant HDAC5 assessed as inhibition of fluorogenic aminocoumarin release from substrate by trypsin-coupled biochemical assay,B,BAO_0000357,single protein format,None,CHEMBL2563,Histone deacetylase 5,Homo sapiens,SINGLE PROTEIN,CHEMBL1800036,1,Scientific Literature,Bioorg Med Chem Lett,2011,None
CHEMBL2431907,0,CC(C)(C)C(=O)N1Cc2ccc(C(=O)NO)cc2C1,IC50,>,50000,nM,CHEMBL2433160,Inhibition of C-terminal His6x-tagged recombinant human HDAC5 (657 to 1123) expressed in baculovirus using acetyl-Lys(trifluoroacetyl)-AMC as substrate after 1 hr by fluorescence plate reader analysis,B,BAO_0000019,assay format,Homo sapiens,CHEMBL2563,Histone deacetylase 5,Homo sapiens,SINGLE PROTEIN,CHEMBL2429834,1,Scientific Literature,J Med Chem,2013,None
CHEMBL573190,0,O=C(NO)C(c1ccc(F)cc1)c1ccc(F)cc1,IC50,=,280,nM,CHEMBL1050115,Inhibition of human recombinant N-terminal FLAG-tagged HDAC5 (620-1122) expressed in baculovirus after 10 mins by fluorimetric analysis,B,BAO_0000019,assay format,Homo sapiens,CHEMBL2563,Histone deacetylase 5,Homo sapiens,SINGLE PROTEIN,CHEMBL1155182,1,Scientific Literature,Bioorg Med Chem Lett,2009,None
CHEMBL277805,0,Nc1ccccc1NC(=O)CCCCCC(=O)Nc1ccccc1,IC50,,,,CHEMBL4401298,Inhibition of HDAC5 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,CHEMBL2563,Histone deacetylase 5,Homo sapiens,SINGLE PROTEIN,CHEMBL4400533,1,Scientific Literature,Eur J Med Chem,2019,None
CHEMBL1914708,0,[N-]=[N+]=NCc1cc(Cn2cc(NC(=O)CCCCCCC(=O)NO)cn2)cc(N=[N+]=[N-])c1,Ratio IC50,=,110,,CHEMBL1920778,Selectivity ratio of compound IC50 to TSA IC50 for human recombinant HDAC5 using fluorophore-conjugated substrate Boc-L-Lys(Ac)-AMC after 60 mins,B,BAO_0000357,single protein format,Homo sapiens,CHEMBL2563,Histone deacetylase 5,Homo sapiens,SINGLE PROTEIN,CHEMBL1914352,1,Scientific Literature,J Med Chem,2011,None
CHEMBL99,0,CC(/C=C/C(=O)NO)=C\[C@@H](C)C(=O)c1ccc(N(C)C)cc1,IC50,=,1090,nM,CHEMBL4422744,Inhibition of recombinant full-length human HDAC5 using Boc-Lys(trifluoroacetyl)-AMC as substrate measured after 2 hrs by fluorescence assay,B,BAO_0000357,single protein format,Homo sapiens,CHEMBL2563,Histone deacetylase 5,Homo sapiens,SINGLE PROTEIN,CHEMBL4422610,1,Scientific Literature,Eur J Med Chem,2018,None
CHEMBL3735029,0,COC(=O)c1coc(-c2ccccc2O)n1,Inhibition,=,13.2,%,CHEMBL3738432,Inhibition of human recombinant HDAC5 at 20 uM using Boc-Lys(Tfa)-AMC as substrate after 30 to 60 mins by microplate reader assay,B,BAO_0000357,single protein format,Homo sapiens,CHEMBL2563,Histone deacetylase 5,Homo sapiens,SINGLE PROTEIN,CHEMBL3734759,1,Scientific Literature,Medchemcomm,2015,None
CHEMBL3736030,0,O=C(Nc1ccccc1)c1coc(-c2ccccc2O)n1,Inhibition,=,9.3,%,CHEMBL3738432,Inhibition of human recombinant HDAC5 at 20 uM using Boc-Lys(Tfa)-AMC as substrate after 30 to 60 mins by microplate reader assay,B,BAO_0000357,single protein format,Homo sapiens,CHEMBL2563,Histone deacetylase 5,Homo sapiens,SINGLE PROTEIN,CHEMBL3734759,1,Scientific Literature,Medchemcomm,2015,None
CHEMBL3734903,0,O=C(NCCC(c1ccccc1)c1ccccc1)c1coc(-c2ccccc2O)n1,Inhibition,=,11.3,%,CHEMBL3738432,Inhibition of human recombinant HDAC5 at 20 uM using Boc-Lys(Tfa)-AMC as substrate after 30 to 60 mins by microplate reader assay,B,BAO_0000357,single protein format,Homo sapiens,CHEMBL2563,Histone deacetylase 5,Homo sapiens,SINGLE PROTEIN,CHEMBL3734759,1,Scientific Literature,Medchemcomm,2015,None
CHEMBL2333346,0,,,,,,,,,,,,,,,,,,,,,
CHEMBL4162183,1,COc1cc2ccn(CCOc3cccc(NC(=O)CCCCCCC(=O)NO)c3)c2c(OC)c1OC,IC50,>,10000,nM,CHEMBL4143554,Inhibition of full length recombinant human HDAC5 preincubated for 5 mins followed by substrate addition measured after 30 mins by fluorescence assay,A,BAO_0000357,single protein format,Homo sapiens,CHEMBL2563,Histone deacetylase 5,Homo sapiens,SINGLE PROTEIN,CHEMBL4138235,1,Scientific Literature,Eur J Med Chem,2018,None
CHEMBL98,0,O=C(CCCCCCC(=O)Nc1ccccc1)NO,IC50,>,10000,nM,CHEMBL4143554,Inhibition of full length recombinant human HDAC5 preincubated for 5 mins followed by substrate addition measured after 30 mins by fluorescence assay,A,BAO_0000357,single protein format,Homo sapiens,CHEMBL2563,Histone deacetylase 5,Homo sapiens,SINGLE PROTEIN,CHEMBL4138235,1,Scientific Literature,Eur J Med Chem,2018,None
CHEMBL4087616,0,CN1C(=O)C2CN(Cc3c2c2ccccc2n3Cc2ccc(C(=O)NO)cc2)C1=O,Ki,=,701,nM,CHEMBL4048832,Inhibition of recombinant human C-terminal His-tagged HDAC5 (656 to 1122 residues) expressed in baculovirus-infected insect cells using Boc-Lys(TFA)-AMC as substrate after 60 mins by fluorimeter,A,BAO_0000219,cell-based format,Homo sapiens,CHEMBL2563,Histone deacetylase 5,Homo sapiens,SINGLE PROTEIN,CHEMBL4043295,1,Scientific Literature,J Med Chem,2018,None
CHEMBL404054,0,Nc1nc(NCc2ccc(C(=O)Nc3ccccc3N)cc2)nc(NC2Cc3ccccc3C2)n1,Activity,,,,CHEMBL931666,Activity against HDAC5,B,BAO_0000357,single protein format,None,CHEMBL2563,Histone deacetylase 5,Homo sapiens,SINGLE PROTEIN,CHEMBL1143113,1,Scientific Literature,Bioorg Med Chem Lett,2008,None
CHEMBL1914702,2,[N-]=[N+]=NCc1cc(N=[N+]=[N-])cc(C(=O)Nc2ccc(-c3cc(C(=O)NCCCCCCC(=O)NO)no3)cc2)c1,Ratio IC50,=,115,,CHEMBL1920778,Selectivity ratio of compound IC50 to TSA IC50 for human recombinant HDAC5 using fluorophore-conjugated substrate Boc-L-Lys(Ac)-AMC after 60 mins,B,BAO_0000357,single protein format,Homo sapiens,CHEMBL2563,Histone deacetylase 5,Homo sapiens,SINGLE PROTEIN,CHEMBL1914352,1,Scientific Literature,J Med Chem,2011,None
CHEMBL4104117,0,O=C(NO)c1ccc(CNc2cccc3cccnc23)cc1,IC50,=,3112,nM,CHEMBL4028195,Inhibition of recombinant human C-terminal His-tagged HDAC5 (656 to 1122 residues) expressed in insect cells using Boc-K(Ac)-AMC as substrate after 60 mins by fluorescence assay,A,BAO_0000219,cell-based format,Homo sapiens,CHEMBL2563,Histone deacetylase 5,Homo sapiens,SINGLE PROTEIN,CHEMBL4024792,1,Scientific Literature,J Med Chem,2018,None
CHEMBL4635034,1,O=C(/C=C/c1ccc(CNCCCN2c3ccccc3CCc3ccc(Cl)cc32)cc1)NO,IC50,=,6270,nM,CHEMBL4604160,Inhibition of recombinant human C-terminal His-tagged HDAC5 (657 to 1123 residues) expressed in baculovirus infected insect cells using Boc-K(Ac)-AMC as substrate after 60 mins by fluorimetry analysis,B,BAO_0000219,cell-based format,Homo sapiens,CHEMBL2563,Histone deacetylase 5,Homo sapiens,SINGLE PROTEIN,CHEMBL4602647,1,Scientific Literature,Eur J Med Chem,2020,None
CHEMBL98,0,,,,,,,,,,,,,,,,,,,,,
CHEMBL48310,0,CC(C)c1cccc(=O)c(O)c1,Ki,>,2500,nM,CHEMBL2410187,Inhibition of human recombinant HDAC5 by Michaelis-Menten equation analysis,B,BAO_0000357,single protein format,Homo sapiens,CHEMBL2563,Histone deacetylase 5,Homo sapiens,SINGLE PROTEIN,CHEMBL2407068,1,Scientific Literature,ACS Med Chem Lett,2013,None
CHEMBL2408244,0,COc1ccc(OC)c(-c2cccc(O)c(=O)c2)c1,Ki,>,2500,nM,CHEMBL2410187,Inhibition of human recombinant HDAC5 by Michaelis-Menten equation analysis,B,BAO_0000357,single protein format,Homo sapiens,CHEMBL2563,Histone deacetylase 5,Homo sapiens,SINGLE PROTEIN,CHEMBL2407068,1,Scientific Literature,ACS Med Chem Lett,2013,None
CHEMBL2408246,0,CCC(C)c1cccc(O)c(=O)c1,Ki,>,2500,nM,CHEMBL2410187,Inhibition of human recombinant HDAC5 by Michaelis-Menten equation analysis,B,BAO_0000357,single protein format,Homo sapiens,CHEMBL2563,Histone deacetylase 5,Homo sapiens,SINGLE PROTEIN,CHEMBL2407068,1,Scientific Literature,ACS Med Chem Lett,2013,None
CHEMBL3394306,0,O=C(NO)c1sc2ccccc2c1S(=O)(=O)c1ccccc1,Inhibition,,,%,CHEMBL3396302,Inhibition of full length N-terminal GST-tagged human HDAC5 expressed in baculovirus expression system assessed as inhibition of fluorophore 7-amino-4-methylcoumarin release by fluorescence assay,B,BAO_0000019,assay format,Homo sapiens,CHEMBL2563,Histone deacetylase 5,Homo sapiens,SINGLE PROTEIN,CHEMBL3392986,1,Scientific Literature,J Med Chem,2015,None
CHEMBL1934905,2,O=C(NO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)Nc1ccc2ccccc2c1,Ki,>,50000,nM,CHEMBL4007221,Inhibition of human HDAC5 using Boc-Lys(trifluoroacetyl)-AMC as substrate preincubated for 30 mins followed by substrate addition measured after 60 mins by trypsin-based fluorescence assay,A,BAO_0000357,single protein format,Homo sapiens,CHEMBL2563,Histone deacetylase 5,Homo sapiens,SINGLE PROTEIN,CHEMBL4004881,1,Scientific Literature,Bioorg Med Chem Lett,2017,None
CHEMBL1934895,1,O=C(NO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)Nc1ccc(I)cc1,Ki,>,50000,nM,CHEMBL4007221,Inhibition of human HDAC5 using Boc-Lys(trifluoroacetyl)-AMC as substrate preincubated for 30 mins followed by substrate addition measured after 60 mins by trypsin-based fluorescence assay,A,BAO_0000357,single protein format,Homo sapiens,CHEMBL2563,Histone deacetylase 5,Homo sapiens,SINGLE PROTEIN,CHEMBL4004881,1,Scientific Literature,Bioorg Med Chem Lett,2017,None
CHEMBL1934893,1,CC(=O)Nc1ccc(NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)NO)cc1,Ki,>,50000,nM,CHEMBL4007221,Inhibition of human HDAC5 using Boc-Lys(trifluoroacetyl)-AMC as substrate preincubated for 30 mins followed by substrate addition measured after 60 mins by trypsin-based fluorescence assay,A,BAO_0000357,single protein format,Homo sapiens,CHEMBL2563,Histone deacetylase 5,Homo sapiens,SINGLE PROTEIN,CHEMBL4004881,1,Scientific Literature,Bioorg Med Chem Lett,2017,None
CHEMBL3426804,0,,,,,,,,,,,,,,,,,,,,,
CHEMBL253868,1,Nc1ccc(-c2ccccc2)cc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1,IC50,>,50000,nM,CHEMBL927765,Inhibition of HDAC5,B,BAO_0000357,single protein format,None,CHEMBL2563,Histone deacetylase 5,Homo sapiens,SINGLE PROTEIN,CHEMBL1140803,1,Scientific Literature,Bioorg Med Chem Lett,2008,None
CHEMBL3427773,0,Cn1c(-c2n[nH]c3c2CC(C)(C)CC3C(N)=O)cc2ccccc21,Inhibition,,,%,CHEMBL3430208,Inhibition of HDAC5 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,CHEMBL2563,Histone deacetylase 5,Homo sapiens,SINGLE PROTEIN,CHEMBL3425433,1,Scientific Literature,Bioorg Med Chem Lett,2015,None
CHEMBL3427748,0,NC(=O)C1CCCc2c(-c3ccc(Cl)c(Cl)c3)n[nH]c21,Inhibition,,,%,CHEMBL3429775,Inhibition of HDAC5 (unknown origin) at 20 uM,B,BAO_0000357,single protein format,Homo sapiens,CHEMBL2563,Histone deacetylase 5,Homo sapiens,SINGLE PROTEIN,CHEMBL3425433,1,Scientific Literature,Bioorg Med Chem Lett,2015,None
CHEMBL3759982,0,O=C(CCCCCC(=O)N/N=C/c1ccc(-c2ccccc2)cc1)NO,Inhibition,,,%,CHEMBL3762493,Inhibition of human recombinant HDAC5 using acetyllysine tripeptide coupled with 7-amino-4-methylcoumarin as substrate by fluorescence assay,B,BAO_0000357,single protein format,Homo sapiens,CHEMBL2563,Histone deacetylase 5,Homo sapiens,SINGLE PROTEIN,CHEMBL3758132,1,Scientific Literature,Bioorg Med Chem Lett,2016,None
CHEMBL3759794,0,O=C(CCCCCC(=O)N/N=C/c1ccc(-c2cccnc2)cc1)NO,Inhibition,,,%,CHEMBL3762493,Inhibition of human recombinant HDAC5 using acetyllysine tripeptide coupled with 7-amino-4-methylcoumarin as substrate by fluorescence assay,B,BAO_0000357,single protein format,Homo sapiens,CHEMBL2563,Histone deacetylase 5,Homo sapiens,SINGLE PROTEIN,CHEMBL3758132,1,Scientific Literature,Bioorg Med Chem Lett,2016,None
CHEMBL343448,1,,,,,,,,,,,,,,,,,,,,,
CHEMBL3622730,1,C/C=C1\NC(=O)c2csc(n2)CNC(=O)C[C@@H](/C=C/CCSC(=O)CCCCCCC)OC(=O)[C@H](C(C)C)NC1=O,IC50,>,10000,nM,CHEMBL3627133,Inhibition of recombinant human HDAC5 after 60 mins by fluorescence assay,B,BAO_0000357,single protein format,Homo sapiens,CHEMBL2563,Histone deacetylase 5,Homo sapiens,SINGLE PROTEIN,CHEMBL3621100,1,Scientific Literature,J Med Chem,2015,None
CHEMBL575482,0,O=C(NO)C1c2ccccc2Cc2ccccc21,IC50,=,1460,nM,CHEMBL1050115,Inhibition of human recombinant N-terminal FLAG-tagged HDAC5 (620-1122) expressed in baculovirus after 10 mins by fluorimetric analysis,B,BAO_0000019,assay format,Homo sapiens,CHEMBL2563,Histone deacetylase 5,Homo sapiens,SINGLE PROTEIN,CHEMBL1155182,1,Scientific Literature,Bioorg Med Chem Lett,2009,None
CHEMBL575258,0,O=C(NO)C(Cc1ccccc1)c1ccccc1,IC50,>,10000,nM,CHEMBL1050115,Inhibition of human recombinant N-terminal FLAG-tagged HDAC5 (620-1122) expressed in baculovirus after 10 mins by fluorimetric analysis,B,BAO_0000019,assay format,Homo sapiens,CHEMBL2563,Histone deacetylase 5,Homo sapiens,SINGLE PROTEIN,CHEMBL1155182,1,Scientific Literature,Bioorg Med Chem Lett,2009,None
CHEMBL408513,0,O=C(/C=C/c1cccc(S(=O)(=O)Nc2ccccc2)c1)NO,Ki,=,175,nM,CHEMBL3598917,Inhibition of human HDAC5,B,BAO_0000357,single protein format,Homo sapiens,CHEMBL2563,Histone deacetylase 5,Homo sapiens,SINGLE PROTEIN,CHEMBL3596180,1,Scientific Literature,Bioorg Med Chem,2015,None
CHEMBL164868,0,CC(/C=C/C(=O)NO)=C\[C@H](C)C(=O)c1ccc(N(C)C)cc1,IC50,=,1600,nM,CHEMBL4398752,Inhibition of human recombinant HDAC5 using fluorogenic HDAC substrate class 2a measured after 30 mins by fluorimetry assay,B,BAO_0000357,single protein format,Homo sapiens,CHEMBL2563,Histone deacetylase 5,Homo sapiens,SINGLE PROTEIN,CHEMBL4396900,1,Scientific Literature,ACS Med Chem Lett,2019,None
