Molecule ChEMBL ID,#RO5 Violations,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID
CHEMBL481131,1,CCSC(=S)SCC(=O)c1ccc(NC(=O)Nc2ccccc2)cc1,IC50,=,1190,nM,CHEMBL949574,Inhibition of HDAC in human HeLa cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HeLa,None,CHEMBL2093865,Histone deacetylase,Homo sapiens,PROTEIN FAMILY,CHEMBL1155020,1,Scientific Literature,J Med Chem,2008,CHEMBL3308376
CHEMBL519134,0,CCSC(=S)SCC(=O)c1cccc(NC(=O)c2cccnc2)c1,IC50,=,646,nM,CHEMBL949574,Inhibition of HDAC in human HeLa cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HeLa,None,CHEMBL2093865,Histone deacetylase,Homo sapiens,PROTEIN FAMILY,CHEMBL1155020,1,Scientific Literature,J Med Chem,2008,CHEMBL3308376
CHEMBL243997,0,CCSC(=S)SCC(=O)c1ccc(NS(C)(=O)=O)cc1,IC50,=,8950,nM,CHEMBL949574,Inhibition of HDAC in human HeLa cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HeLa,None,CHEMBL2093865,Histone deacetylase,Homo sapiens,PROTEIN FAMILY,CHEMBL1155020,1,Scientific Literature,J Med Chem,2008,CHEMBL3308376
CHEMBL517384,1,CCSC(=S)SCC(=O)c1ccc(S(=O)(=O)Nc2ccc(Cl)cc2)cc1,IC50,=,8,nM,CHEMBL949573,Inhibition of nuclear HDAC isolated from human HeLa cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HeLa,None,CHEMBL2093865,Histone deacetylase,Homo sapiens,PROTEIN FAMILY,CHEMBL1155020,1,Scientific Literature,J Med Chem,2008,CHEMBL3308376
CHEMBL482271,0,CCSC(=S)SCC(=O)c1ccc(CNC(=O)c2ccccc2)cc1,IC50,=,46,nM,CHEMBL949573,Inhibition of nuclear HDAC isolated from human HeLa cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HeLa,None,CHEMBL2093865,Histone deacetylase,Homo sapiens,PROTEIN FAMILY,CHEMBL1155020,1,Scientific Literature,J Med Chem,2008,CHEMBL3308376
CHEMBL479611,0,CCSC(=S)SCC(=O)c1cccc(NC(=O)c2ccccc2)c1,IC50,=,120,nM,CHEMBL949573,Inhibition of nuclear HDAC isolated from human HeLa cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HeLa,None,CHEMBL2093865,Histone deacetylase,Homo sapiens,PROTEIN FAMILY,CHEMBL1155020,1,Scientific Literature,J Med Chem,2008,CHEMBL3308376
CHEMBL325675,0,CN(C)c1ccc(NC(=O)CCCCCCS)cc1,IC50,=,1200,nM,CHEMBL695140,In vitro inhibitory activity against human histone deacetylase (HDAC) using HeLa nuclear extract,B,BAO_0000224,protein format,None,None,None,None,None,CHEMBL2093865,Histone deacetylase,Homo sapiens,PROTEIN FAMILY,CHEMBL1148417,1,Scientific Literature,Bioorg Med Chem Lett,2004,None
CHEMBL455757,0,CC(=O)SCC(=O)c1ccc(NS(=O)(=O)c2ccc3c(c2)ncn3C)cc1,EC50,=,79,nM,CHEMBL946689,Inhibition of histone deacetylase in human HeLa cells assessed as induction of histone H3 hyperacetylation,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HeLa,None,CHEMBL2093865,Histone deacetylase,Homo sapiens,PROTEIN FAMILY,CHEMBL1141002,1,Scientific Literature,Bioorg Med Chem Lett,2008,CHEMBL3308376
CHEMBL480931,0,COc1ccc(S(=O)(=O)Nc2ccc(C(=O)CSC(C)=O)cc2)cc1,EC50,=,50,nM,CHEMBL946689,Inhibition of histone deacetylase in human HeLa cells assessed as induction of histone H3 hyperacetylation,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HeLa,None,CHEMBL2093865,Histone deacetylase,Homo sapiens,PROTEIN FAMILY,CHEMBL1141002,1,Scientific Literature,Bioorg Med Chem Lett,2008,CHEMBL3308376
CHEMBL395976,0,COc1cc(C(=O)c2cc3cc(/C=C/C(=O)NO)ccc3o2)cc(OC)c1OC,IC50,=,1000,nM,CHEMBL895787,Inhibition of HDAC in HeLa cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HeLa,None,CHEMBL2093865,Histone deacetylase,Homo sapiens,PROTEIN FAMILY,CHEMBL1148761,1,Scientific Literature,J Med Chem,2007,CHEMBL3308376
CHEMBL397904,0,O=C(/C=C/c1ccc2oc(C(=O)c3ccccc3)cc2c1)NO,IC50,=,830,nM,CHEMBL895787,Inhibition of HDAC in HeLa cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HeLa,None,CHEMBL2093865,Histone deacetylase,Homo sapiens,PROTEIN FAMILY,CHEMBL1148761,1,Scientific Literature,J Med Chem,2007,CHEMBL3308376
CHEMBL396559,0,COc1ccc2[nH]c(C(=O)c3ccc(/C=C/C(=O)NO)cc3)cc2c1,IC50,=,280,nM,CHEMBL895787,Inhibition of HDAC in HeLa cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HeLa,None,CHEMBL2093865,Histone deacetylase,Homo sapiens,PROTEIN FAMILY,CHEMBL1148761,1,Scientific Literature,J Med Chem,2007,CHEMBL3308376
CHEMBL390908,0,O=C(/C=C/c1ccc(C(=O)c2cc3ccccc3[nH]2)cc1)NO,EC50,=,2970,nM,CHEMBL895789,Inhibition of HDAC in HeLa cells assessed as induction of human histone H3 hyperacetylation,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HeLa,None,CHEMBL2093865,Histone deacetylase,Homo sapiens,PROTEIN FAMILY,CHEMBL1148761,1,Scientific Literature,J Med Chem,2007,CHEMBL3308376
CHEMBL244040,0,COc1ccc2c(c1)cc(C(=O)c1ccc(/C=C/C(=O)NO)cc1)n2S(=O)(=O)c1ccccc1,EC50,=,6900,nM,CHEMBL895789,Inhibition of HDAC in HeLa cells assessed as induction of human histone H3 hyperacetylation,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HeLa,None,CHEMBL2093865,Histone deacetylase,Homo sapiens,PROTEIN FAMILY,CHEMBL1148761,1,Scientific Literature,J Med Chem,2007,CHEMBL3308376
CHEMBL591747,0,O=C(CCCCCCCn1cc(-c2ccccc2)nn1)NO,IC50,=,363.6,nM,CHEMBL1074102,Inhibition of HDAC in human HeLa cell nuclear extracts after 15 mins by fluorescence assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HeLa,None,CHEMBL2093865,Histone deacetylase,Homo sapiens,PROTEIN FAMILY,CHEMBL1157662,1,Scientific Literature,Bioorg Med Chem,2010,CHEMBL3308376
CHEMBL590566,0,CN(C)c1ccc(-c2cn(CCCCCCCCC(=O)NO)nn2)cc1,IC50,=,596.6,nM,CHEMBL1074102,Inhibition of HDAC in human HeLa cell nuclear extracts after 15 mins by fluorescence assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HeLa,None,CHEMBL2093865,Histone deacetylase,Homo sapiens,PROTEIN FAMILY,CHEMBL1157662,1,Scientific Literature,Bioorg Med Chem,2010,CHEMBL3308376
CHEMBL1093042,0,CCc1ccc(NC(=O)CCCCC(=O)NO)cc1,Activity,,,,CHEMBL1116930,Induction of HDAC-mediated alpha-tubulin acetylation in human HepG2 cells at 5 uM after 6 hrs by indirect ELISA,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HepG2,None,CHEMBL2093865,Histone deacetylase,Homo sapiens,PROTEIN FAMILY,CHEMBL1156269,1,Scientific Literature,J Med Chem,2010,CHEMBL3307718
CHEMBL96051,0,O=C(CCCCCN1C(=O)c2cccc3cccc(c23)C1=O)NO,Inhibition,,,%,CHEMBL1267901,Inhibition of HDAC in human CFBE41o- cell line assessed as increase in CFTR mRNA at 5 uM by RT-PCR,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,CHEMBL2093865,Histone deacetylase,Homo sapiens,PROTEIN FAMILY,CHEMBL1255383,1,Scientific Literature,Nat Chem Biol,2010,None
CHEMBL99,0,CC(/C=C/C(=O)NO)=C\[C@@H](C)C(=O)c1ccc(N(C)C)cc1,IC50,=,28.9,nM,CHEMBL1114231,Inhibition of human HDAC in human HeLa cell nuclear extract after 15 mins by colorimetric assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HeLa,None,CHEMBL2093865,Histone deacetylase,Homo sapiens,PROTEIN FAMILY,CHEMBL1155391,1,Scientific Literature,Bioorg Med Chem Lett,2010,CHEMBL3308376
CHEMBL389370,0,CCSC(=S)SCc1nccc2ccccc12,Inhibition,=,8,%,CHEMBL890777,Inhibition of HDAC in HeLa cells at 30 uM,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HeLa,None,CHEMBL2093865,Histone deacetylase,Homo sapiens,PROTEIN FAMILY,CHEMBL1146229,1,Scientific Literature,Bioorg Med Chem Lett,2007,CHEMBL3308376
CHEMBL390415,0,CCSC(=S)SCC(=O)c1cc(OC)ccc1OC,Inhibition,=,6,%,CHEMBL890782,Inhibition of HDAC in HeLa cells at 50 uM,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HeLa,None,CHEMBL2093865,Histone deacetylase,Homo sapiens,PROTEIN FAMILY,CHEMBL1146229,1,Scientific Literature,Bioorg Med Chem Lett,2007,CHEMBL3308376
CHEMBL395293,0,CCSC(=S)SC(O)c1ccc(OC)cc1,Inhibition,=,11,%,CHEMBL890782,Inhibition of HDAC in HeLa cells at 50 uM,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HeLa,None,CHEMBL2093865,Histone deacetylase,Homo sapiens,PROTEIN FAMILY,CHEMBL1146229,1,Scientific Literature,Bioorg Med Chem Lett,2007,CHEMBL3308376
CHEMBL242684,1,CC(C)SC(=S)SCC(=O)c1ccc(Cl)c(Cl)c1,IC50,=,100,nM,CHEMBL890778,Inhibition of HDAC in HeLa cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HeLa,None,CHEMBL2093865,Histone deacetylase,Homo sapiens,PROTEIN FAMILY,CHEMBL1146229,1,Scientific Literature,Bioorg Med Chem Lett,2007,CHEMBL3308376
CHEMBL1243260,0,O=C(CCCc1cc(C(=O)NO)no1)Nc1ccccc1,Inhibition,=,23.75,%,CHEMBL1246050,Inhibition of HDAC in human HeLa cells at 1 uM after 15 mins,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HeLa,None,CHEMBL2093865,Histone deacetylase,Homo sapiens,PROTEIN FAMILY,CHEMBL1240475,1,Scientific Literature,Eur J Med Chem,2010,CHEMBL3308376
CHEMBL1243261,0,O=C(CCCCc1cc(C(=O)NO)no1)Nc1ccccc1,Inhibition,=,26,%,CHEMBL1246050,Inhibition of HDAC in human HeLa cells at 1 uM after 15 mins,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HeLa,None,CHEMBL2093865,Histone deacetylase,Homo sapiens,PROTEIN FAMILY,CHEMBL1240475,1,Scientific Literature,Eur J Med Chem,2010,CHEMBL3308376
CHEMBL1243289,0,O=C(CCCCC1CC(C(=O)NO)=NO1)Nc1ccccc1,Inhibition,=,16.75,%,CHEMBL1246050,Inhibition of HDAC in human HeLa cells at 1 uM after 15 mins,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HeLa,None,CHEMBL2093865,Histone deacetylase,Homo sapiens,PROTEIN FAMILY,CHEMBL1240475,1,Scientific Literature,Eur J Med Chem,2010,CHEMBL3308376
CHEMBL1243291,0,NNC(=O)c1cc(CCCCC(=O)Nc2ccccc2)on1,Inhibition,=,0,%,CHEMBL1246050,Inhibition of HDAC in human HeLa cells at 1 uM after 15 mins,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HeLa,None,CHEMBL2093865,Histone deacetylase,Homo sapiens,PROTEIN FAMILY,CHEMBL1240475,1,Scientific Literature,Eur J Med Chem,2010,CHEMBL3308376
CHEMBL1243322,0,O=C(CCCCc1cc(-c2ccccc2O)no1)Nc1ccccc1,Inhibition,=,0,%,CHEMBL1246050,Inhibition of HDAC in human HeLa cells at 1 uM after 15 mins,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HeLa,None,CHEMBL2093865,Histone deacetylase,Homo sapiens,PROTEIN FAMILY,CHEMBL1240475,1,Scientific Literature,Eur J Med Chem,2010,CHEMBL3308376
CHEMBL1243226,0,Nc1ccccc1-c1cc(CCCCC(=O)Nc2ccccc2)on1,Inhibition,=,0,%,CHEMBL1246056,Inhibition of HDAC in human HeLa cells at 0.1 uM after 15 mins,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HeLa,None,CHEMBL2093865,Histone deacetylase,Homo sapiens,PROTEIN FAMILY,CHEMBL1240475,1,Scientific Literature,Eur J Med Chem,2010,CHEMBL3308376
CHEMBL390908,0,O=C(/C=C/c1ccc(C(=O)c2cc3ccccc3[nH]2)cc1)NO,IC50,=,310,nM,CHEMBL895787,Inhibition of HDAC in HeLa cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HeLa,None,CHEMBL2093865,Histone deacetylase,Homo sapiens,PROTEIN FAMILY,CHEMBL1148761,1,Scientific Literature,J Med Chem,2007,CHEMBL3308376
CHEMBL244885,0,COc1cccc(C(=O)c2cc3cc(/C=C/C(=O)NO)ccc3[nH]2)c1,EC50,=,2570,nM,CHEMBL895789,Inhibition of HDAC in HeLa cells assessed as induction of human histone H3 hyperacetylation,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HeLa,None,CHEMBL2093865,Histone deacetylase,Homo sapiens,PROTEIN FAMILY,CHEMBL1148761,1,Scientific Literature,J Med Chem,2007,CHEMBL3308376
CHEMBL1793936,1,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC(=O)[C@H](CCCCC(=O)OC)NC(=O)[C@H]2CCCCN2CC1=O,IC50,=,74,nM,CHEMBL821898,Inhibitory activity against histone deacetylase (HDAC) derived from partially purified extracts of human HeLa cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HeLa,None,CHEMBL2093865,Histone deacetylase,Homo sapiens,PROTEIN FAMILY,CHEMBL1133987,1,Scientific Literature,Bioorg Med Chem Lett,2001,CHEMBL3308376
CHEMBL3747327,0,COc1ccc(-c2nc(NC(=O)NCC(=O)NO)cc3c4ccccc4n(C)c23)cc1,IC50,=,3160,nM,CHEMBL3751357,Inhibition of HDAC in human HeLa cell nuclear extract using Boc-Lys (Ac)-AMC as substrate after 60 mins by fluorometric analysis,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HeLa,None,CHEMBL2093865,Histone deacetylase,Homo sapiens,PROTEIN FAMILY,CHEMBL3745678,1,Scientific Literature,J Med Chem,2015,CHEMBL3308376
CHEMBL3745821,0,COc1ccc(-c2nc(C(=O)NCCCCCC(=O)NO)cc3c2[nH]c2ccccc23)cc1,IC50,=,1170,nM,CHEMBL3751357,Inhibition of HDAC in human HeLa cell nuclear extract using Boc-Lys (Ac)-AMC as substrate after 60 mins by fluorometric analysis,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HeLa,None,CHEMBL2093865,Histone deacetylase,Homo sapiens,PROTEIN FAMILY,CHEMBL3745678,1,Scientific Literature,J Med Chem,2015,CHEMBL3308376
CHEMBL3747748,0,COc1ccc(-c2nc(C(=O)NCC(=O)NO)cc3c2[nH]c2ccccc23)cc1,IC50,=,3020,nM,CHEMBL3751357,Inhibition of HDAC in human HeLa cell nuclear extract using Boc-Lys (Ac)-AMC as substrate after 60 mins by fluorometric analysis,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HeLa,None,CHEMBL2093865,Histone deacetylase,Homo sapiens,PROTEIN FAMILY,CHEMBL3745678,1,Scientific Literature,J Med Chem,2015,CHEMBL3308376
CHEMBL3747660,0,Cc1nc(C(=O)NCCCC(=O)NO)cc2c1[nH]c1ccccc12,IC50,=,1210,nM,CHEMBL3751357,Inhibition of HDAC in human HeLa cell nuclear extract using Boc-Lys (Ac)-AMC as substrate after 60 mins by fluorometric analysis,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HeLa,None,CHEMBL2093865,Histone deacetylase,Homo sapiens,PROTEIN FAMILY,CHEMBL3745678,1,Scientific Literature,J Med Chem,2015,CHEMBL3308376
CHEMBL1801252,0,O=C(NO)c1cnc(N2C[C@@H]3[C@H](C2)[C@H]3Nc2ccc3ccccc3n2)nc1,IC50,=,18,nM,CHEMBL1804309,Inhibition of HDAC in human HeLa cells nuclear extract using fluor de Lys as substrate preincubated for 5 mins by fluorometric analysis,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HeLa,None,CHEMBL2093865,Histone deacetylase,Homo sapiens,PROTEIN FAMILY,CHEMBL1800056,1,Scientific Literature,J Med Chem,2010,CHEMBL3308376
CHEMBL3745945,0,O=C(CCNC(=O)c1cc2c(cn1)[nH]c1ccccc12)NO,IC50,=,3230,nM,CHEMBL3751357,Inhibition of HDAC in human HeLa cell nuclear extract using Boc-Lys (Ac)-AMC as substrate after 60 mins by fluorometric analysis,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HeLa,None,CHEMBL2093865,Histone deacetylase,Homo sapiens,PROTEIN FAMILY,CHEMBL3745678,1,Scientific Literature,J Med Chem,2015,CHEMBL3308376
CHEMBL142048,0,O=C(CCc1ccc(NC(=O)CCCc2ccccc2)cc1)NO,IC50,=,530,nM,CHEMBL697497,Inhibition of histone deacetylase (HDAC) activity in DU-145 nuclear extracts,B,BAO_0000224,protein format,Homo sapiens,None,None,None,None,CHEMBL2093865,Histone deacetylase,Homo sapiens,PROTEIN FAMILY,CHEMBL1138834,1,Scientific Literature,J Med Chem,2004,None
CHEMBL215144,0,O=C(CCCC/N=c1/c([S-])c(O)c1=O)Nc1ccccc1.[Na+],Activity,,,,CHEMBL864284,Inhibition of HDAC at <1 uM,B,BAO_0000224,protein format,Homo sapiens,None,None,None,None,CHEMBL2093865,Histone deacetylase,Homo sapiens,PROTEIN FAMILY,CHEMBL1149353,1,Scientific Literature,Bioorg Med Chem Lett,2006,None
CHEMBL2385396,0,O=C(/C=C/c1ccc2c(c1)Cc1sc(Nc3ccccn3)nc1-2)NO,Inhibition,=,25.54,%,CHEMBL2390504,Inhibition of HDAC in human HeLa cells using Fluor de Lys as substrate at 1 uM by fluorescence assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HeLa,None,CHEMBL2093865,Histone deacetylase,Homo sapiens,PROTEIN FAMILY,CHEMBL2385000,1,Scientific Literature,Bioorg Med Chem Lett,2013,CHEMBL3308376
CHEMBL2403483,0,O=C(NO)c1cc2ccc(COc3cccc(F)c3)cc2s1,Inhibition,=,68,%,CHEMBL2406372,Inhibition of HDAC (unknown origin) at 1 uM,B,BAO_0000224,protein format,Homo sapiens,None,None,None,None,CHEMBL2093865,Histone deacetylase,Homo sapiens,PROTEIN FAMILY,CHEMBL2401613,1,Scientific Literature,Bioorg Med Chem Lett,2013,None
CHEMBL1808379,1,COc1ccc(NC(=O)[C@H](Cc2ccc(OCC(=O)NO)cc2)NC(=O)CCCc2ccccc2)cc1,IC50,=,1320,nM,CHEMBL1811687,Inhibition of HDAC in human HeLa cell nuclear extract using fluorogenic Boc-Lys (acetyl)-AMC as substrate after 30 mins fluorescence assay,B,BAO_0000224,protein format,Homo sapiens,None,None,HeLa,None,CHEMBL2093865,Histone deacetylase,Homo sapiens,PROTEIN FAMILY,CHEMBL1806484,1,Scientific Literature,Bioorg Med Chem,2011,CHEMBL3308376
CHEMBL597569,2,COCCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCCCCC(=O)NO,IC50,=,8.4,nM,CHEMBL1064920,Inhibition of HDAC in human HeLa cell nuclear extract,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HeLa,None,CHEMBL2093865,Histone deacetylase,Homo sapiens,PROTEIN FAMILY,CHEMBL1157563,1,Scientific Literature,J Med Chem,2010,CHEMBL3308376
CHEMBL598406,0,COc1cc2ncnc(N[C@@H](C)c3ccc(F)cc3)c2cc1OCCCCCCC(=O)NO,IC50,=,165.3,nM,CHEMBL1064920,Inhibition of HDAC in human HeLa cell nuclear extract,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HeLa,None,CHEMBL2093865,Histone deacetylase,Homo sapiens,PROTEIN FAMILY,CHEMBL1157563,1,Scientific Literature,J Med Chem,2010,CHEMBL3308376
