Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type
CHEMBL3735029,,None,219.2,0,1.83,7,COC(=O)c1coc(-c2ccccc2O)n1,Inhibition,=,19,%,,,,UO_0000187,,,,,0,CHEMBL3738581,Inhibition of human recombinant HDAC9 at 20 uM using Boc-Lys(Tfa)-AMC as substrate after 30 to 60 mins by microplate reader assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL3734759,1,Scientific Literature,Medchemcomm,2015,None,,
CHEMBL3734903,,None,398.46,0,5,12,O=C(NCCC(c1ccccc1)c1ccccc1)c1coc(-c2ccccc2O)n1,Inhibition,=,28.2,%,,,,UO_0000187,,,,,0,CHEMBL3738581,Inhibition of human recombinant HDAC9 at 20 uM using Boc-Lys(Tfa)-AMC as substrate after 30 to 60 mins by microplate reader assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL3734759,1,Scientific Literature,Medchemcomm,2015,None,,
CHEMBL3605506,,None,462.55,1,5.48,15k,Nc1ccccc1NC(=O)c1ccc(CNC2=N[C@H](c3ccccc3)[C@H](c3ccccc3)O2)cc1,IC50,>,100000,nM,,,,UO_0000065,,,,,0,CHEMBL3606706,Inhibition of HDAC9 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL3603817,1,Scientific Literature,J Med Chem,2015,None,,
CHEMBL4082995,,None,348.4,0,3.15,187b,O=C(/C=C/c1cccn(CCCc2ccc3ccccc3c2)c1=O)NO,IC50,=,5580,nM,5.25,,,UO_0000065,15.08,0.28,2.1,7.36,0,CHEMBL4422746,Inhibition of recombinant full-length human HDAC9 using Boc-Lys(trifluoroacetyl)-AMC as substrate measured after 2 hrs by fluorescence assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL4422610,1,Scientific Literature,Eur J Med Chem,2018,None,,
CHEMBL564916,,None,450.59,1,6.95,4q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3670675,,None,492.54,1,5.41,BDBM119704,Nc1ccccc1NC(=O)c1ccc(CNC(=O)c2[nH]c(-c3ccc(O)cc3)cc2-c2ccoc2)cc1,IC50,=,478,nM,6.32,,246764,UO_0000065,12.83,0.23,0.91,4.74,0,CHEMBL3707961,Enzyme Assay: The reactions were carried out in a 96-well microplate for fluorometry in a 50 μl reaction volume. After the deacetylation reaction,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL4093691,,None,490.51,0,4.07,12,COc1ccc2c(C(=O)c3cc(OC)c(OC)c(OC)c3)cn(Cc3ccc(C(=O)NO)cc3)c2c1,IC50,=,1680,nM,5.78,,,UO_0000065,11.77,0.22,1.7,5.33,0,CHEMBL4042505,Inhibition of recombinant human HDAC9 using fluorogenic substrate by fluorescence assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL4041521,1,Scientific Literature,Eur J Med Chem,2017,None,,
CHEMBL1914708,,None,440.47,0,4.47,3f,[N-]=[N+]=NCc1cc(Cn2cc(NC(=O)CCCCCCC(=O)NO)cn2)cc(N=[N+]=[N-])c1,IC50,=,704,nM,6.15,,,UO_0000065,13.97,0.26,1.68,3.18,0,CHEMBL1921148,Inhibition of human recombinant HDAC9 using fluorophore-conjugated substrate Boc-L-Lys(Ac)-AMC after 60 mins,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL1914352,1,Scientific Literature,J Med Chem,2011,None,,
CHEMBL3917405,,None,518.61,2,5.32,51,O=C(CCCCCCOc1ccc2cc1COC/C=C/COCc1cccc(c1)-c1ccnc(n1)N2)NO,Inhibition,=,14,%,,,,UO_0000187,,,,,0,CHEMBL3877366,Inhibition of HDAC9 (unknown origin) at 10 uM preincubated with enzyme followed by acetyl-Lys(trifluoroacetyl)-AMC substrate addition measured after 2 hrs by fluorescence assay relative to control,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL3877241,1,Scientific Literature,J Med Chem,2016,None,,
CHEMBL4448385,,None,485.58,0,4.67,26,CC(C)c1cc(C(=O)N(C)c2ccc(NC(=O)CCCCCCCC(=O)NO)cc2)c(O)cc1O,IC50,>,10000,nM,,,,UO_0000065,,,,,0,CHEMBL4376418,Inhibition of human HDAC9 using (Boc-Lys(trifluoroacetyl)-AMC) as substrate by fluorescence assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL4373735,1,Scientific Literature,Eur J Med Chem,2020,None,,
CHEMBL2105763,QUISINOSTAT,2,394.48,0,2.09,JNJ-26481585,Cn1cc(CNCC2CCN(c3ncc(C(=O)NO)cn3)CC2)c2ccccc21,IC50,=,6.7,nM,8.17,,,UO_0000065,20.72,0.38,6.08,8.58,0,CHEMBL4376742,Inhibition of recombinant human HDAC9 (604-1066 residues) expressed in baculovirus infected Sf9 cells using FAM-RHKK-TFAc as substrate incubated for 3 hrs by electrophoretic mobility shift assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf9,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL4373747,1,Scientific Literature,ACS Med Chem Lett,2020,CHEMBL3308860,,
CHEMBL3827814,,None,490.53,1,0.99,10o,CN(Cc1nc2c(N3CCOCC3)nc(-c3ccc(N)cc3)nc2n1C)c1ncc(C(=O)NO)cn1,IC50,>,1000,nM,,,,UO_0000065,,,,,0,CHEMBL3829038,Inhibition of C-terminal His-tagged human recombinant HDAC9 (604 to 1066 residues) expressed in baculovirus infected insect Sf9 cells using Ac-peptide-AMC as substrate assessed as release of AMC preincubated for 15 mins followed by substrate addition measured after 1 hr by fluorescence assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf9,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL3826921,1,Scientific Literature,J Med Chem,2016,CHEMBL3308860,,
CHEMBL2170177,,None,296.33,0,2.82,PCI34051,COc1ccc(Cn2ccc3ccc(C(=O)NO)cc32)cc1,IC50,>,10000,nM,,,,UO_0000065,,,,,0,CHEMBL4619663,Inhibition of C-terminal His-tagged human HDAC9 (604 to 1066residues) expressed in baculovirus expression system using FAM-RHK(TF-Ac)-NH2 substrate incubated for 3 hrs by EMSA method,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL4616727,1,Scientific Literature,J Med Chem,2020,None,,
CHEMBL1631911,,None,378.47,0,3.42,(R/S)-8b,O=C(CCCCCC1OCCCCCCOc2ccccc2NC1=O)NO,IC50,=,687,nM,6.16,,,UO_0000065,16.28,0.31,2.74,6.36,0,CHEMBL1634307,Inhibition of human HDAC9 by fluorimetric assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL1629537,1,Scientific Literature,J Med Chem,2010,None,,
CHEMBL1631914,,None,454.52,0,4.08,(S)-9,COc1cc2cc(c1)COc1ccccc1NC(=O)[C@H](CCCCCC(=O)NO)OC/C=C\2,IC50,=,60.6,nM,7.22,,,UO_0000065,15.88,0.3,3.14,6.8,0,CHEMBL1634307,Inhibition of human HDAC9 by fluorimetric assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL1629537,1,Scientific Literature,J Med Chem,2010,None,,
CHEMBL4756150,,None,341.41,0,3.82,2,CC(=O)Nc1ccc(Cc2ccc(OCC(=O)O)cc2)cc1C(C)C,Inhibition,<,50,%,,,,UO_0000187,,,,,0,CHEMBL4683757,Inhibition of HDAC9 (unknown origin) at 10 uM relative to control,A,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL4680157,1,Scientific Literature,Eur J Med Chem,2020,None,Dose = 10.0 microM,
CHEMBL2178221,,None,505.02,1,4.22,49,Nc1ccccc1NC(=O)/C=C/c1ccc([C@H]2CN(CCO)C[C@@H]2C(=O)Nc2ccc(Cl)cc2)cc1,IC50,,,,,,Not Determined,,,,,,0,CHEMBL2182321,Inhibition of HDAC9 using p53 (379 to 382 residues) based fluorogenic peptide substrate,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL2177000,1,Scientific Literature,J Med Chem,2012,None,,
CHEMBL3110001,,None,305.34,0,2.63,49,O=C(NO)[C@@H]1[C@H](c2ccccc2)[C@H]1c1ccc2nccnc2c1,IC50,=,30,nM,7.52,,,UO_0000065,24.64,0.45,4.89,10.02,0,CHEMBL3112171,Inhibition of human recombinant HDAC9 catalytic domain using Boc_Lys_TFA as substrate after 60 mins by fluorescence assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL3108758,1,Scientific Literature,J Med Chem,2013,None,,
CHEMBL4069287,,None,356.4,0,2.14,13,O=C(NO)c1ccc(Cn2c3c(c4ccccc42)S(=O)(=O)CC3)cc1,IC50,=,200,nM,6.7,,,UO_0000065,18.8,0.37,4.56,7.58,0,CHEMBL4035209,Inhibition of HDAC9 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL4033665,1,Scientific Literature,Eur J Med Chem,2017,None,,
CHEMBL3335300,,None,349.43,0,3.82,22,O=C(CCCCc1ccn(Cc2ccc(-c3ccccc3)cc2)n1)NO,IC50,=,47200,nM,4.33,,,UO_0000065,12.38,0.23,0.51,6.44,0,CHEMBL3388845,Inhibition of human recombinant HDAC9 after 60 mins by fluorimetric assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL3352093,1,Scientific Literature,Eur J Med Chem,2014,None,,
CHEMBL257973,AZUMAMIDE D,None,485.59,0,0.07,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL1767030,,None,355.44,0,3.7,14,CNC(=O)/C(CCCCCCC(=O)Nc1ccc2ccccc2c1)=N\O,IC50,>,100000,nM,,,,UO_0000065,,,,,0,CHEMBL1767519,Inhibition of human HDAC9 using ArgHisLysLys(Ac) fluorogenic peptide as a substrate by fluorimetric assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL1765034,1,Scientific Literature,J Med Chem,2011,None,,
CHEMBL1767047,,None,500.64,2,5.22,43,CNC(=O)/C(CCCCC[C@@H](C(=O)Nc1ccccc1)N(Cc1ccccc1)Cc1ccccc1)=N\O,IC50,>,100000,nM,,,,UO_0000065,,,,,0,CHEMBL1767519,Inhibition of human HDAC9 using ArgHisLysLys(Ac) fluorogenic peptide as a substrate by fluorimetric assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL1765034,1,Scientific Literature,J Med Chem,2011,None,,
CHEMBL98,VORINOSTAT,4,264.32,0,2.47,SAHA,O=C(CCCCCCC(=O)Nc1ccccc1)NO,IC50,=,316,nM,6.5,,,UO_0000065,24.59,0.47,4.03,8.29,1,CHEMBL3238612,Inhibition of human HDAC9 using fluorogenic tetrapeptide RHKKAc as substrate,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL3232764,1,Scientific Literature,Eur J Med Chem,2014,None,,
CHEMBL4749146,,None,407.56,0,3.6,1,O=C(NO)c1ccc(CCCN2CCC(CN[C@H]3C[C@@H]3c3ccccc3)CC2)cc1,IC50,=,3430,nM,5.46,,,UO_0000065,13.41,0.25,1.86,8.46,0,CHEMBL4724391,Inhibition of human HDAC9 using Boc-Lys(trifluoroacetyl)-AMC as substrate by fluorescence method,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL4715885,1,Scientific Literature,Bioorg Med Chem Lett,2021,None,,INHIBITOR
CHEMBL3923615,,None,None,None,None,BDBM218224,,IC50,=,8160,nM,5.09,,381783,UO_0000065,,,,,0,CHEMBL3888200,HDAC Activity Assay: HDAC assay is performed using fluorescently-labeled acetylated substrate,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL98,VORINOSTAT,4,264.32,0,2.47,Zolinza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL4456445,,None,391.32,0,3.94,22,O=C(NO)C(c1ccc(-c2ncc(C(F)(F)F)cn2)cc1)c1ccccc1F,IC50,=,50,nM,7.3,,,UO_0000065,18.66,0.36,3.36,9.72,1,CHEMBL4310911,Inhibition of human C-terminal His-tagged HDAC9 (604 to 1066 residues) expressed in baculovirus infected Sf9 insect cells using Boc-Lys-TFA as substrate measured after 60 mins by fluorescence assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf9,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL4308884,1,Scientific Literature,Bioorg Med Chem Lett,2019,CHEMBL3308860,,
CHEMBL4129930,,None,336.32,0,2.85,21,CC1(C)c2cccc(C(N)=O)c2CN1c1cnc(C(F)(F)F)cn1,IC50,>,10000,nM,,,,UO_0000065,,,,,0,CHEMBL4123092,Inhibition of full length recombinant human HDAC9 using fluorescent-labeled peptide as substrate by electrophoretic mobility shift assay,A,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL4118189,1,Scientific Literature,Bioorg Med Chem Lett,2018,None,,
CHEMBL3110004,,None,514.53,2,5.36,TMP269,O=C(NCC1(c2nc(-c3ccccc3)cs2)CCOCC1)c1cccc(-c2noc(C(F)(F)F)n2)c1,IC50,=,23.24,nM,7.63,,,UO_0000065,14.84,0.29,2.27,8.47,0,CHEMBL3794870,Inhibition of human recombinant HDAC9 using trifluoroacetyl lysine as substrate,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL3792358,1,Scientific Literature,Eur J Med Chem,2016,None,,
CHEMBL518821,,None,422.34,0,4.17,1,O=C(c1ccc(-c2nc(COc3ccc(-c4nnco4)cc3)no2)s1)C(F)(F)F,IC50,=,20,nM,7.7,,,UO_0000065,18.23,0.36,3.53,7.39,0,CHEMBL3112171,Inhibition of human recombinant HDAC9 catalytic domain using Boc_Lys_TFA as substrate after 60 mins by fluorescence assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL3108758,1,Scientific Literature,J Med Chem,2013,None,,
CHEMBL2364628,RICOLINOSTAT,2,433.51,0,4.13,18; ACY-1215,O=C(CCCCCCNC(=O)c1cnc(N(c2ccccc2)c2ccccc2)nc1)NO,IC50,>,1000,nM,,,,UO_0000065,,,,,1,CHEMBL4673930,Inhibition of HDAC9 (unknown origin) using MAZ-1675 as substrate preincubated for 10 mins followed by substrate addition and shaken for 60 secs,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL4673207,1,Scientific Literature,Eur J Med Chem,2018,None,TIME = 0.1833 hr,
CHEMBL471042,,None,341.32,0,2.66,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3622533,FIMEPINOSTAT,2,508.56,2,2.14,25,COc1ccc(-c2nc(N3CCOCC3)c3sc(CN(C)c4ncc(C(=O)NO)cn4)cc3n2)cn1,IC50,=,554,nM,6.26,,,UO_0000065,12.3,0.24,4.12,4.51,0,CHEMBL4771408,Inhibition of HDAC9 (unknown origin) by color de Lys colorimetric assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL4765362,1,Scientific Literature,J Med Chem,2020,None,,INHIBITOR
CHEMBL343448,ROMIDEPSIN,4,540.71,1,1.43,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL4554522,,None,685.83,3,6.26,24c,COc1ccc(CN2CCC(Nc3nc(Nc4ccc(NC(=O)CCCCCCC(=O)NO)cc4)nc4cc(OC)c(OC)cc34)CC2)cc1,Inhibition,=,21,%,,,,UO_0000187,,,,,0,CHEMBL4315175,Inhibition of human HDAC9 at 10 uM using Acetyl-Lys (trifluoroacetyl)-AMC) as substrate incubated for 2 hrs by fluorescence assay relative to control,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL4311997,1,Scientific Literature,Eur J Med Chem,2019,None,,
CHEMBL4069287,,None,356.4,0,2.14,35,O=C(NO)c1ccc(Cn2c3c(c4ccccc42)S(=O)(=O)CC3)cc1,IC50,=,100,nM,7,,,UO_0000065,19.64,0.38,4.86,7.92,0,CHEMBL4673888,Inhibition of human HDAC9 using fluorogenic HDAC substrate incubated for 30 mins by fluorimetry,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL4673207,1,Scientific Literature,Eur J Med Chem,2018,None,TIME = 0.5 hr,INHIBITOR
CHEMBL4790998,,None,572.68,1,3.61,23h,COc1cc(OC)c2c(N3CCS(=O)(=O)CC3)nc(-c3cc(C)c(OCCCCCC(=O)NO)c(C)c3)nc2c1,IC50,>,1000,nM,,,,UO_0000065,,,,,0,CHEMBL4773584,Inhibition of recombinant human full-length N-terminal GST-tagged HDAC9 (1 to 1069 residues) expressed in wheat germ expression system using Ac-Leu-Gly-Lys(Tfa)-AMC as substrate measured after 30 mins by fluorescence assay,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL4765420,1,Scientific Literature,Eur J Med Chem,2020,None,TIME = 0.5 hr,
CHEMBL2177582,,None,492.98,0,5,60,CN1C[C@H](C(=O)Nc2ccc(Cl)cc2)[C@@H](c2ccc(/C=C/C(=O)Nc3ccccc3N)cc2F)C1,IC50,=,43000,nM,4.37,,,UO_0000065,8.86,0.17,-0.63,4.99,0,CHEMBL2182321,Inhibition of HDAC9 using p53 (379 to 382 residues) based fluorogenic peptide substrate,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL2177000,1,Scientific Literature,J Med Chem,2012,None,,
CHEMBL27759,ENTINOSTAT,3,376.42,0,3.34,6; MS-275,Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1,IC50,,,,,,Not Active,,,,,,0,CHEMBL4384546,Inhibition of human HDAC9 using Boc-Lys(trifluoroacetyl)-AMC as substrate by fluorescence assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL4382249,1,Scientific Literature,Eur J Med Chem,2019,None,,
CHEMBL99,TRICHOSTATIN,1,302.37,0,2.58,TSA,CC(/C=C/C(=O)NO)=C\[C@@H](C)C(=O)c1ccc(N(C)C)cc1,IC50,,,,,,Not Determined,,,,,,0,CHEMBL3794870,Inhibition of human recombinant HDAC9 using trifluoroacetyl lysine as substrate,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL3792358,1,Scientific Literature,Eur J Med Chem,2016,None,,
CHEMBL1800245,,None,301.37,0,3.33,11,CC(=O)Nc1ccc(C(=O)CSc2cccc(O)c2)cc1,IC50,>,100000,nM,,,,UO_0000065,,,,,0,CHEMBL1805036,Inhibition of recombinant HDAC9 assessed as inhibition of fluorogenic aminocoumarin release from substrate by trypsin-coupled biochemical assay,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL1800036,1,Scientific Literature,Bioorg Med Chem Lett,2011,None,,
CHEMBL3220926,,None,409.53,0,4.39,I-BET295,CNCc1ccc(-c2ccc3c(c2)[C@H](NC(=O)OC(C)C)C[C@H](C)N3C(C)=O)cc1,IC50,>,100000,nM,,,,UO_0000065,,,,,0,CHEMBL3224044,Inhibition of HDAC9 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL3217474,1,Scientific Literature,Medchemcomm,2014,None,,
CHEMBL4744643,,None,327.42,0,4.3,6,CCNc1ccc(Cc2ccc(OCC(=O)O)cc2)cc1C(C)C,Inhibition,<,50,%,,,,UO_0000187,,,,,0,CHEMBL4683757,Inhibition of HDAC9 (unknown origin) at 10 uM relative to control,A,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL4680157,1,Scientific Literature,Eur J Med Chem,2020,None,Dose = 10.0 microM,
CHEMBL2408778,,None,517.98,1,4.04,chimera 4,Nc1ncnc2c1c(-c1ccc(Cl)cc1)nn2-c1cccc(-c2cnnn2CCCCCC(=O)NO)c1,IC50,=,28020,nM,4.55,,,UO_0000065,8.79,0.17,0.51,3.04,0,CHEMBL2410634,Inhibition of HDAC9 (unknown origin) using Boc-Lys(trifluoroacetyl)-AMC as substrate by fluorescence assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL2406958,1,Scientific Literature,ACS Med Chem Lett,2013,None,,
CHEMBL2381524,,None,282.3,0,2.46,10,O=C(/C=C/c1cccc(C(=O)NO)c1)Nc1ccccc1,IC50,=,12000,nM,4.92,,,UO_0000065,17.43,0.32,2.46,6.27,0,CHEMBL2384801,Inhibition of HDAC9 (unknown origin) after 60 mins by fluorescence assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL2380312,1,Scientific Literature,J Med Chem,2013,None,,
CHEMBL98,VORINOSTAT,4,264.32,0,2.47,SAHA,O=C(CCCCCCC(=O)Nc1ccccc1)NO,IC50,,,,,,Not Determined,,,,,,0,CHEMBL5030851,Inhibition of recombinant human C-terminal His-tagged HDAC9 (604 to 1066 residues) expressed in baculovirus infected Sf9 insect cells using fluorogenic substrate measured after 60 mins by FRET assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf9,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL5030507,1,Scientific Literature,J Med Chem,2021,None,TIME = 1.0 hr,
CHEMBL3311471,,None,331.37,0,1.71,19,O=C(CCCCCCNC(=O)c1ccc2[nH]c(=O)ccc2c1)NO,IC50,=,46,nM,7.34,,,UO_0000065,22.14,0.42,5.63,6.59,0,CHEMBL3373902,Inhibition of human HDAC9 pre-incubated for 30 mins before substrate addition and measured after 30 mins by HDAC-Glo I/II assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL3351757,1,Scientific Literature,Bioorg Med Chem,2014,None,,
CHEMBL3309297,,None,399.49,0,2.9,40,CC1(C)CC(=O)Nc2ccc(C(=O)NC[C@H]3CC[C@H](/C=C/C(=O)NO)CC3)cc21,Ratio IC50,>,10,,,,,,,,,,0,CHEMBL3373909,Potency index,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3335298,,None,388.47,0,4.09,20,O=C(CCCCc1ccn(Cc2ccc(-n3ccc4ccccc43)cc2)n1)NO,IC50,,,,,,Not Active,,,,,,0,CHEMBL3388845,Inhibition of human recombinant HDAC9 after 60 mins by fluorimetric assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL3352093,1,Scientific Literature,Eur J Med Chem,2014,None,,
CHEMBL356769,TUBACIN,None,721.88,2,8.62,Tubacin,O=C(CCCCCCC(=O)Nc1ccc([C@H]2O[C@@H](CSc3nc(-c4ccccc4)c(-c4ccccc4)o3)C[C@@H](c3ccc(CO)cc3)O2)cc1)NO,IC50,,,,,,Not Determined,,,,,,0,CHEMBL4737694,Inhibition of recombinant human HDAC9 using Ac-LGK(TFA)-AMC as substrate preincubated for 15 mins followed by substrate addition and measured after 60 mins by fluorescence based assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL4732198,1,Scientific Literature,J Med Chem,2021,None,TIME = 1.25 hr,
CHEMBL235842,,None,351.43,0,4.21,82b,CC(=O)Nc1ccc(C(=O)Nc2cc(-c3cccs3)ccc2N)cc1,IC50,,,,,,Not Determined,,,,,,0,CHEMBL947139,Inhibition of HDAC9,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL4145,Histone deacetylase 9,Homo sapiens,SINGLE PROTEIN,CHEMBL1142268,1,Scientific Literature,J Med Chem,2008,None,,
